course_day,lesson_id,unit_number,unit_title,day_in_unit,phase,focus,standards,origin,sealed_course_day
28,ma-g8-mathematics-u02-l06,2,Integer Exponents and Scientific Notation,6,Guided practice B,measurement and technology applications,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,24
29,ma-g8-mathematics-u02-l07,2,Integer Exponents and Scientific Notation,7,Investigation or close reading,laws of integer exponents,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,25
30,ma-g8-mathematics-u02-l08,2,Integer Exponents and Scientific Notation,8,Reteach and varied practice,powers of ten,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,26
31,ma-g8-mathematics-u02-l09,2,Integer Exponents and Scientific Notation,9,Concept model C,scientific notation,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,27
32,ma-g8-mathematics-u02-l10,2,Integer Exponents and Scientific Notation,10,Discussion or problem seminar,comparing extreme quantities,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,28
33,ma-g8-mathematics-u02-l11,2,Integer Exponents and Scientific Notation,11,Performance task planning,operations in scientific notation,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,29
34,ma-g8-mathematics-u02-l12,2,Integer Exponents and Scientific Notation,12,Performance task build,measurement and technology applications,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,30
35,ma-g8-mathematics-u02-l13,2,Integer Exponents and Scientific Notation,13,Skill consolidation,laws of integer exponents,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,31
36,ma-g8-mathematics-u02-l14,2,Integer Exponents and Scientific Notation,14,Transfer challenge,powers of ten,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,32
37,ma-g8-mathematics-u02-l15,2,Integer Exponents and Scientific Notation,15,Assessment preparation,scientific notation,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,33
38,ma-g8-mathematics-u02-l16,2,Integer Exponents and Scientific Notation,16,Unit assessment,comparing extreme quantities,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,34
39,ma-g8-mathematics-u02-l17,2,Integer Exponents and Scientific Notation,17,Targeted correction,operations in scientific notation,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,35
40,ma-g8-mathematics-u02-l18,2,Integer Exponents and Scientific Notation,18,"Publication, presentation, or reflection",measurement and technology applications,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,36
41,ma-g8-mathematics-u03-l01,3,Linear Equations,1,Launch and diagnostic,one-variable equations,8.EE.7,sealed-1.0.0,37
42,ma-g8-mathematics-u03-l02,3,Linear Equations,2,Concept model A,distributive property and combining terms,8.EE.7,sealed-1.0.0,38
43,ma-g8-mathematics-u03-l03,3,Linear Equations,3,Guided practice A,variables on both sides,8.EE.7,sealed-1.0.0,39
44,ma-g8-mathematics-u03-l04,3,Linear Equations,4,Independent application A,one solution no solution infinitely many solutions,8.EE.7,sealed-1.0.0,40
45,ma-g8-mathematics-u03-l05,3,Linear Equations,5,Concept model B,checking solutions,8.EE.7,sealed-1.0.0,41
46,ma-g8-mathematics-u03-l06,3,Linear Equations,6,Guided practice B,equations from contexts,8.EE.7,sealed-1.0.0,42
47,ma-g8-mathematics-u03-l07,3,Linear Equations,7,Investigation or close reading,one-variable equations,8.EE.7,sealed-1.0.0,43
48,ma-g8-mathematics-u03-l08,3,Linear Equations,8,Reteach and varied practice,distributive property and combining terms,8.EE.7,sealed-1.0.0,44
49,ma-g8-mathematics-u03-l09,3,Linear Equations,9,Concept model C,variables on both sides,8.EE.7,sealed-1.0.0,45
50,ma-g8-mathematics-u03-l10,3,Linear Equations,10,Discussion or problem seminar,one solution no solution infinitely many solutions,8.EE.7,sealed-1.0.0,46
51,ma-g8-mathematics-u03-l11,3,Linear Equations,11,Performance task planning,checking solutions,8.EE.7,sealed-1.0.0,47
52,ma-g8-mathematics-u03-l12,3,Linear Equations,12,Performance task build,equations from contexts,8.EE.7,sealed-1.0.0,48
53,ma-g8-mathematics-u03-l13,3,Linear Equations,13,Skill consolidation,one-variable equations,8.EE.7,sealed-1.0.0,49
54,ma-g8-mathematics-u03-l14,3,Linear Equations,14,Transfer challenge,distributive property and combining terms,8.EE.7,sealed-1.0.0,50
55,ma-g8-mathematics-u03-l15,3,Linear Equations,15,Assessment preparation,variables on both sides,8.EE.7,sealed-1.0.0,51
56,ma-g8-mathematics-u03-l16,3,Linear Equations,16,Unit assessment,one solution no solution infinitely many solutions,8.EE.7,sealed-1.0.0,52
57,ma-g8-mathematics-u03-l17,3,Linear Equations,17,Targeted correction,checking solutions,8.EE.7,sealed-1.0.0,53
58,ma-g8-mathematics-u03-l18,3,Linear Equations,18,"Publication, presentation, or reflection",equations from contexts,8.EE.7,sealed-1.0.0,54
59,ma-g8-mathematics-u04-l01,4,"Slope, Lines, and Proportional Connections",1,Launch and diagnostic,slope as rate of change,8.EE.5 8.EE.6,sealed-1.0.0,55
60,ma-g8-mathematics-u04-l02,4,"Slope, Lines, and Proportional Connections",2,Concept model A,similar triangles and slope,8.EE.5 8.EE.6,sealed-1.0.0,56
61,ma-g8-mathematics-u04-l03,4,"Slope, Lines, and Proportional Connections",3,Guided practice A,slope-intercept form,8.EE.5 8.EE.6,sealed-1.0.0,57
62,ma-g8-mathematics-u04-l04,4,"Slope, Lines, and Proportional Connections",4,Independent application A,graphs tables and equations,8.EE.5 8.EE.6,sealed-1.0.0,58
63,ma-g8-mathematics-u04-l05,4,"Slope, Lines, and Proportional Connections",5,Concept model B,parallel-line reasoning,8.EE.5 8.EE.6,sealed-1.0.0,59
64,ma-g8-mathematics-u04-l06,4,"Slope, Lines, and Proportional Connections",6,Guided practice B,interpreting intercepts,8.EE.5 8.EE.6,sealed-1.0.0,60
65,ma-g8-mathematics-u04-l07,4,"Slope, Lines, and Proportional Connections",7,Investigation or close reading,slope as rate of change,8.EE.5 8.EE.6,sealed-1.0.0,61
66,ma-g8-mathematics-u04-l08,4,"Slope, Lines, and Proportional Connections",8,Reteach and varied practice,similar triangles and slope,8.EE.5 8.EE.6,sealed-1.0.0,62
67,ma-g8-mathematics-u04-l09,4,"Slope, Lines, and Proportional Connections",9,Concept model C,slope-intercept form,8.EE.5 8.EE.6,sealed-1.0.0,63
68,ma-g8-mathematics-u04-l10,4,"Slope, Lines, and Proportional Connections",10,Discussion or problem seminar,graphs tables and equations,8.EE.5 8.EE.6,sealed-1.0.0,64
69,ma-g8-mathematics-u04-l11,4,"Slope, Lines, and Proportional Connections",11,Performance task planning,parallel-line reasoning,8.EE.5 8.EE.6,sealed-1.0.0,65
70,ma-g8-mathematics-u04-l12,4,"Slope, Lines, and Proportional Connections",12,Performance task build,interpreting intercepts,8.EE.5 8.EE.6,sealed-1.0.0,66
71,ma-g8-mathematics-u04-l13,4,"Slope, Lines, and Proportional Connections",13,Skill consolidation,slope as rate of change,8.EE.5 8.EE.6,sealed-1.0.0,67
72,ma-g8-mathematics-u04-l14,4,"Slope, Lines, and Proportional Connections",14,Transfer challenge,similar triangles and slope,8.EE.5 8.EE.6,sealed-1.0.0,68
73,ma-g8-mathematics-u04-l15,4,"Slope, Lines, and Proportional Connections",15,Assessment preparation,slope-intercept form,8.EE.5 8.EE.6,sealed-1.0.0,69
74,ma-g8-mathematics-u04-l16,4,"Slope, Lines, and Proportional Connections",16,Unit assessment,graphs tables and equations,8.EE.5 8.EE.6,sealed-1.0.0,70
75,ma-g8-mathematics-u04-l17,4,"Slope, Lines, and Proportional Connections",17,Targeted correction,parallel-line reasoning,8.EE.5 8.EE.6,sealed-1.0.0,71
76,ma-g8-mathematics-u04-l18,4,"Slope, Lines, and Proportional Connections",18,"Publication, presentation, or reflection",interpreting intercepts,8.EE.5 8.EE.6,sealed-1.0.0,72
77,ma-g8-mathematics-u05-l01,5,Functions,1,Launch and diagnostic,function definition,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,73
78,ma-g8-mathematics-u05-l02,5,Functions,2,Concept model A,input output and notation,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,74
79,ma-g8-mathematics-u05-l03,5,Functions,3,Guided practice A,comparing functions,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,75
80,ma-g8-mathematics-u05-l04,5,Functions,4,Independent application A,linear versus nonlinear patterns,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,76
81,ma-g8-mathematics-u05-l05,5,Functions,5,Concept model B,constructing functions,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,77
82,ma-g8-mathematics-u05-l06,5,Functions,6,Guided practice B,qualitative graph interpretation,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,78
83,ma-g8-mathematics-u05-l07,5,Functions,7,Investigation or close reading,function definition,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,79
84,ma-g8-mathematics-u05-l08,5,Functions,8,Reteach and varied practice,input output and notation,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,80
85,ma-g8-mathematics-u05-l09,5,Functions,9,Concept model C,comparing functions,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,81
86,ma-g8-mathematics-u05-l10,5,Functions,10,Discussion or problem seminar,linear versus nonlinear patterns,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,82
87,ma-g8-mathematics-u05-l11,5,Functions,11,Performance task planning,constructing functions,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,83
88,ma-g8-mathematics-u05-l12,5,Functions,12,Performance task build,qualitative graph interpretation,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,84
89,ma-g8-mathematics-u05-l13,5,Functions,13,Skill consolidation,function definition,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,85
90,ma-g8-mathematics-u05-l14,5,Functions,14,Transfer challenge,input output and notation,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,86
91,ma-g8-mathematics-u05-l15,5,Functions,15,Assessment preparation,comparing functions,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,87
92,ma-g8-mathematics-u05-l16,5,Functions,16,Unit assessment,linear versus nonlinear patterns,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,88
93,ma-g8-mathematics-u05-l17,5,Functions,17,Targeted correction,constructing functions,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,89
94,ma-g8-mathematics-u05-l18,5,Functions,18,"Publication, presentation, or reflection",qualitative graph interpretation,8.F.1 8.F.2 8.F.3 8.F.4 8.F.5,sealed-1.0.0,90
95,ma-g8-mathematics-u06-l01,6,Systems of Linear Equations,1,Launch and diagnostic,intersection as shared solution,8.EE.8,sealed-1.0.0,91
96,ma-g8-mathematics-u06-l02,6,Systems of Linear Equations,2,Concept model A,graphing systems,8.EE.8,sealed-1.0.0,92
97,ma-g8-mathematics-u06-l03,6,Systems of Linear Equations,3,Guided practice A,substitution or equivalent reasoning,8.EE.8,sealed-1.0.0,93
98,ma-g8-mathematics-u06-l04,6,Systems of Linear Equations,4,Independent application A,one no or infinitely many solutions,8.EE.8,sealed-1.0.0,94
99,ma-g8-mathematics-u06-l05,6,Systems of Linear Equations,5,Concept model B,systems from contexts,8.EE.8,sealed-1.0.0,95
100,ma-g8-mathematics-u06-l06,6,Systems of Linear Equations,6,Guided practice B,checking and interpreting,8.EE.8,sealed-1.0.0,96
101,ma-g8-mathematics-u06-l07,6,Systems of Linear Equations,7,Investigation or close reading,intersection as shared solution,8.EE.8,sealed-1.0.0,97
102,ma-g8-mathematics-u06-l08,6,Systems of Linear Equations,8,Reteach and varied practice,graphing systems,8.EE.8,sealed-1.0.0,98
103,ma-g8-mathematics-u06-l09,6,Systems of Linear Equations,9,Concept model C,substitution or equivalent reasoning,8.EE.8,sealed-1.0.0,99
104,ma-g8-mathematics-u06-l10,6,Systems of Linear Equations,10,Discussion or problem seminar,one no or infinitely many solutions,8.EE.8,sealed-1.0.0,100
105,ma-g8-mathematics-u06-l11,6,Systems of Linear Equations,11,Performance task planning,systems from contexts,8.EE.8,sealed-1.0.0,101
106,ma-g8-mathematics-u06-l12,6,Systems of Linear Equations,12,Performance task build,checking and interpreting,8.EE.8,sealed-1.0.0,102
107,ma-g8-mathematics-u06-l13,6,Systems of Linear Equations,13,Skill consolidation,intersection as shared solution,8.EE.8,sealed-1.0.0,103
108,ma-g8-mathematics-u06-l14,6,Systems of Linear Equations,14,Transfer challenge,graphing systems,8.EE.8,sealed-1.0.0,104
109,ma-g8-mathematics-u06-l15,6,Systems of Linear Equations,15,Assessment preparation,substitution or equivalent reasoning,8.EE.8,sealed-1.0.0,105
110,ma-g8-mathematics-u06-l16,6,Systems of Linear Equations,16,Unit assessment,one no or infinitely many solutions,8.EE.8,sealed-1.0.0,106
111,ma-g8-mathematics-u06-l17,6,Systems of Linear Equations,17,Targeted correction,systems from contexts,8.EE.8,sealed-1.0.0,107
112,ma-g8-mathematics-u06-l18,6,Systems of Linear Equations,18,"Publication, presentation, or reflection",checking and interpreting,8.EE.8,sealed-1.0.0,108
113,ma-g8-mathematics-u07-l01,7,"Transformations, Congruence, and Similarity",1,Launch and diagnostic,translations rotations reflections and dilations,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,109
114,ma-g8-mathematics-u07-l02,7,"Transformations, Congruence, and Similarity",2,Concept model A,coordinate rules,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,110
115,ma-g8-mathematics-u07-l03,7,"Transformations, Congruence, and Similarity",3,Guided practice A,congruence through rigid motion,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,111
116,ma-g8-mathematics-u07-l04,7,"Transformations, Congruence, and Similarity",4,Independent application A,similarity through dilation,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,112
117,ma-g8-mathematics-u07-l05,7,"Transformations, Congruence, and Similarity",5,Concept model B,angle relationships,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,113
118,ma-g8-mathematics-u07-l06,7,"Transformations, Congruence, and Similarity",6,Guided practice B,informal geometric arguments,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,114
119,ma-g8-mathematics-u07-l07,7,"Transformations, Congruence, and Similarity",7,Investigation or close reading,translations rotations reflections and dilations,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,115
120,ma-g8-mathematics-u07-l08,7,"Transformations, Congruence, and Similarity",8,Reteach and varied practice,coordinate rules,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,116
121,ma-g8-mathematics-u07-l09,7,"Transformations, Congruence, and Similarity",9,Concept model C,congruence through rigid motion,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,117
122,ma-g8-mathematics-u07-l10,7,"Transformations, Congruence, and Similarity",10,Discussion or problem seminar,similarity through dilation,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,118
123,ma-g8-mathematics-u07-l11,7,"Transformations, Congruence, and Similarity",11,Performance task planning,angle relationships,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,119
124,ma-g8-mathematics-u07-l12,7,"Transformations, Congruence, and Similarity",12,Performance task build,informal geometric arguments,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,120
125,ma-g8-mathematics-u07-l13,7,"Transformations, Congruence, and Similarity",13,Skill consolidation,translations rotations reflections and dilations,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,121
126,ma-g8-mathematics-u07-l14,7,"Transformations, Congruence, and Similarity",14,Transfer challenge,coordinate rules,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,122
127,ma-g8-mathematics-u07-l15,7,"Transformations, Congruence, and Similarity",15,Assessment preparation,congruence through rigid motion,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,123
128,ma-g8-mathematics-u07-l16,7,"Transformations, Congruence, and Similarity",16,Unit assessment,similarity through dilation,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,124
129,ma-g8-mathematics-u07-l17,7,"Transformations, Congruence, and Similarity",17,Targeted correction,angle relationships,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,125
130,ma-g8-mathematics-u07-l18,7,"Transformations, Congruence, and Similarity",18,"Publication, presentation, or reflection",informal geometric arguments,8.G.1 8.G.2 8.G.3 8.G.4 8.G.5,sealed-1.0.0,126
131,ma-g8-mathematics-u08-l01,8,Pythagorean Theorem and Coordinate Geometry,1,Launch and diagnostic,Pythagorean relationship,8.G.6 8.G.7 8.G.8,sealed-1.0.0,127
132,ma-g8-mathematics-u08-l02,8,Pythagorean Theorem and Coordinate Geometry,2,Concept model A,proof models,8.G.6 8.G.7 8.G.8,sealed-1.0.0,128
133,ma-g8-mathematics-u08-l03,8,Pythagorean Theorem and Coordinate Geometry,3,Guided practice A,unknown side lengths,8.G.6 8.G.7 8.G.8,sealed-1.0.0,129
134,ma-g8-mathematics-u08-l04,8,Pythagorean Theorem and Coordinate Geometry,4,Independent application A,distance in the coordinate plane,8.G.6 8.G.7 8.G.8,sealed-1.0.0,130
135,ma-g8-mathematics-u08-l05,8,Pythagorean Theorem and Coordinate Geometry,5,Concept model B,real-world diagonal problems,8.G.6 8.G.7 8.G.8,sealed-1.0.0,131
136,ma-g8-mathematics-u08-l06,8,Pythagorean Theorem and Coordinate Geometry,6,Guided practice B,reasonableness and units,8.G.6 8.G.7 8.G.8,sealed-1.0.0,132
137,ma-g8-mathematics-u08-l07,8,Pythagorean Theorem and Coordinate Geometry,7,Investigation or close reading,Pythagorean relationship,8.G.6 8.G.7 8.G.8,sealed-1.0.0,133
138,ma-g8-mathematics-u08-l08,8,Pythagorean Theorem and Coordinate Geometry,8,Reteach and varied practice,proof models,8.G.6 8.G.7 8.G.8,sealed-1.0.0,134
139,ma-g8-mathematics-u08-l09,8,Pythagorean Theorem and Coordinate Geometry,9,Concept model C,unknown side lengths,8.G.6 8.G.7 8.G.8,sealed-1.0.0,135
140,ma-g8-mathematics-u08-l10,8,Pythagorean Theorem and Coordinate Geometry,10,Discussion or problem seminar,distance in the coordinate plane,8.G.6 8.G.7 8.G.8,sealed-1.0.0,136
141,ma-g8-mathematics-u08-l11,8,Pythagorean Theorem and Coordinate Geometry,11,Performance task planning,real-world diagonal problems,8.G.6 8.G.7 8.G.8,sealed-1.0.0,137
142,ma-g8-mathematics-u08-l12,8,Pythagorean Theorem and Coordinate Geometry,12,Performance task build,reasonableness and units,8.G.6 8.G.7 8.G.8,sealed-1.0.0,138
143,ma-g8-mathematics-u08-l13,8,Pythagorean Theorem and Coordinate Geometry,13,Skill consolidation,Pythagorean relationship,8.G.6 8.G.7 8.G.8,sealed-1.0.0,139
144,ma-g8-mathematics-u08-l14,8,Pythagorean Theorem and Coordinate Geometry,14,Transfer challenge,proof models,8.G.6 8.G.7 8.G.8,sealed-1.0.0,140
145,ma-g8-mathematics-u08-l15,8,Pythagorean Theorem and Coordinate Geometry,15,Assessment preparation,unknown side lengths,8.G.6 8.G.7 8.G.8,sealed-1.0.0,141
146,ma-g8-mathematics-u08-l16,8,Pythagorean Theorem and Coordinate Geometry,16,Unit assessment,distance in the coordinate plane,8.G.6 8.G.7 8.G.8,sealed-1.0.0,142
147,ma-g8-mathematics-u08-l17,8,Pythagorean Theorem and Coordinate Geometry,17,Targeted correction,real-world diagonal problems,8.G.6 8.G.7 8.G.8,sealed-1.0.0,143
148,ma-g8-mathematics-u08-l18,8,Pythagorean Theorem and Coordinate Geometry,18,"Publication, presentation, or reflection",reasonableness and units,8.G.6 8.G.7 8.G.8,sealed-1.0.0,144
149,ma-g8-mathematics-u09-l01,9,Volume and Bivariate Data,1,Launch and diagnostic,volume of cylinders cones and spheres,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,145
150,ma-g8-mathematics-u09-l02,9,Volume and Bivariate Data,2,Concept model A,scatter plots,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,146
151,ma-g8-mathematics-u09-l03,9,Volume and Bivariate Data,3,Guided practice A,association and outliers,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,147
152,ma-g8-mathematics-u09-l04,9,Volume and Bivariate Data,4,Independent application A,lines of fit,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,148
153,ma-g8-mathematics-u09-l05,9,Volume and Bivariate Data,5,Concept model B,two-way tables,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,149
154,ma-g8-mathematics-u09-l06,9,Volume and Bivariate Data,6,Guided practice B,correlation versus causation,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,150
155,ma-g8-mathematics-u09-l07,9,Volume and Bivariate Data,7,Investigation or close reading,volume of cylinders cones and spheres,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,151
156,ma-g8-mathematics-u09-l08,9,Volume and Bivariate Data,8,Reteach and varied practice,scatter plots,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,152
157,ma-g8-mathematics-u09-l09,9,Volume and Bivariate Data,9,Concept model C,association and outliers,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,153
158,ma-g8-mathematics-u09-l10,9,Volume and Bivariate Data,10,Discussion or problem seminar,lines of fit,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,154
159,ma-g8-mathematics-u09-l11,9,Volume and Bivariate Data,11,Performance task planning,two-way tables,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,155
160,ma-g8-mathematics-u09-l12,9,Volume and Bivariate Data,12,Performance task build,correlation versus causation,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,156
161,ma-g8-mathematics-u09-l13,9,Volume and Bivariate Data,13,Skill consolidation,volume of cylinders cones and spheres,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,157
162,ma-g8-mathematics-u09-l14,9,Volume and Bivariate Data,14,Transfer challenge,scatter plots,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,158
