case_number,lesson_id,grade,work_mode,scoring_stance,generator_family,before_classification,before_boundary_violation,before_learner_visible_repair,correction_model,after_classification,after_boundary_violation,after_learner_support,learner_passing_change_present_after,semantic_exact_repair_visible_after,adult_trusted_solution_complete,generated_learner_package,adult_scoring_guide,after_package_sha256,after_scoring_guide_sha256
11,ma-g10-technology-u05-l03,10,GUIDED,PROGRESS_EVIDENCE,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The update combines this.value with amount; the three tests return 5, 0, and 3.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u05-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u05-l03.scoring-guide.json,d0d74eef5b743e3e67e683e90162859547417ab1681d227b2649d3399974c4bd,66459d5808646a10c9cde255ac2a1ec38964c5c7edef85221211d586e260511e
12,ma-g10-technology-u06-l02,10,MODEL,FORMATIVE_NO_PENALTY,DATA_AGGREGATION,LEGITIMATE_WORKED_EXAMPLE,false,"The reducer uses total + record.value; the tests return 6, 0, and 0.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"The reducer uses total + record.value; the tests return 6, 0, and 0.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u06-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u06-l02.scoring-guide.json,15ccf8ae1605a7a3365c3baec4953986f64b4a73347cea089dedcf55ff974ca7,fc413378f1c0707ab32b1f187011328e47937204ec41bb12c129d99f1ce61749
13,ma-g11-technology-u01-l02,11,MODEL,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,LEGITIMATE_WORKED_EXAMPLE,false,Iteration begins at index 0; all three tests retain every step in order.,worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,Iteration begins at index 0; all three tests retain every step in order.,true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u01-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u01-l02.scoring-guide.json,0c0013d39fe3a335a556c1038b316f0eae3bd88854ff018de4cb3d1e129d8c07,6f736f7285cb4a8d9ccad38169fa356881b25a0fe068cb67acae0647c87c2cc4
14,ma-g11-technology-u01-l03,11,GUIDED,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u01-l03.scoring-guide.json,73450a94f1314e7718389038277aedffd8559b750e9c4a163f5bdbcaba7d42b8,2b493a2e3a4bf9282fe70cef63e80068db5d2265c0f1db7a03e426b7a9706dad
15,ma-g11-technology-u02-l01,11,PROBE,FORMATIVE_NO_PENALTY,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The update combines this.value with amount; the three tests return 5, 0, and 3.",trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l01.scoring-guide.json,24bea209687b4b8a76d4ec1872e104cda27ab2002829792c7d91139b6a83c8c7,04f5a9b6a12a9581fb0832fc8df954850a49d280cf3b837f1e609cd72f861082
16,ma-g11-technology-u02-l02,11,MODEL,FORMATIVE_NO_PENALTY,OBJECT_STATE_UPDATE,LEGITIMATE_WORKED_EXAMPLE,false,"The update combines this.value with amount; the three tests return 5, 0, and 3.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"The update combines this.value with amount; the three tests return 5, 0, and 3.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l02.scoring-guide.json,108d3a628b6ffbc1d3462823149609842ddbadbbf68b302d32ed27b568957ef0,6ed32040fd6194f37b53550e9d211cae1473e16f56e5e7dc7b2c20bc1565e9ff
17,ma-g11-technology-u02-l03,11,GUIDED,PROGRESS_EVIDENCE,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The update combines this.value with amount; the three tests return 5, 0, and 3.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l03.scoring-guide.json,2033ad3330f81e8d2df27423cbed428da96499b853c08a95e33f5e060008765b,a2a2c91764bd4df0e295b806ce8b07219aed74903a84aaa6b7c04f756feaff45
18,ma-g11-technology-u02-l05,11,DEMONSTRATE,SUMMATIVE,OBJECT_STATE_UPDATE,SUMMATIVE_SOLUTION_EXPOSURE,true,"The update combines this.value with amount; the three tests return 5, 0, and 3.","trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l05.scoring-guide.json,27b8f46ad3c068bff1ac75f42bb78741c0c76ae89617a6663bd0a197f42b9493,4d70bbd4096f80ab0fed71460ad64d3c327c3cf4aa08af599a174754ffaca3a8
19,ma-g11-technology-u02-l06,11,CORRECT,PROGRESS_EVIDENCE,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The update combines this.value with amount; the three tests return 5, 0, and 3.",post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l06.scoring-guide.json,0455815612e04ee90d13af9f6d1cddf9c95ca7455979c0f778e8f109ff2ac97c,cce1d7b7d2f1b0be36d598595c660d079f9676a67c499378cb7fba360bf5c580
20,ma-g11-technology-u06-l03,11,GUIDED,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u06-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u06-l03.scoring-guide.json,6007d40110de3f433ccd553046219b714e5f44c973271698daa1dcb8f10e2699,4efc3ddd6a6208cb4548378cb3cc5c826e4a9ccbae838485a68c897302eb07ba
21,ma-g12-technology-u01-l01,12,PROBE,FORMATIVE_NO_PENALTY,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l01.scoring-guide.json,20f521f6579c5ee482a0e34980bd0bb0610c109fff6f3144fba6bb3b09dc756e,8c23e628242106190524680c48f7e42883bd2d8a0228a5593b9d72204c5ffb1c
22,ma-g12-technology-u01-l02,12,MODEL,FORMATIVE_NO_PENALTY,ALGORITHM_INITIALIZATION,LEGITIMATE_WORKED_EXAMPLE,false,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l02.scoring-guide.json,41cb5afb511ee5848b1add9d397593a2b089eb529e3a288a8b0dac2086a5b66f,e8e86d743acff2ce1e763cfe16c3d71912ed0e9ad2c1f55211c6caa63c446872
23,ma-g12-technology-u01-l03,12,GUIDED,PROGRESS_EVIDENCE,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l03.scoring-guide.json,6fd0a130f3a72c0b16aff0c421c50d2e912cf4d477aa9a72551e13698e2e59d3,24275aaf26859efacbd1c336b95e673ede45a3801a67f40289ae7e10645fa63a
24,ma-g12-technology-u01-l04,12,BUILD,PROGRESS_EVIDENCE,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",hint ladder plus trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Use the three tests to isolate one defect region, then choose and justify the smallest edit that satisfies the specification without weakening a boundary test.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l04.scoring-guide.json,0226d896a9061ce8b04ac452c33fa8ca19343fc69e31fcc571f877a99d58c885,b423b65ad83fa14011e7e6f10cd4f69d284b42bc65f04fc255bc791a603eceb6
25,ma-g12-technology-u01-l05,12,DEMONSTRATE,SUMMATIVE,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,Iteration begins at index 0; all three tests retain every step in order.,"trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l05.scoring-guide.json,65c3119676a6951140dcb8f70737f416bf04e80c92f362eae9f3c600c10614a7,d0f517cb39ba9315a25deb897f03eaaaccfd9b4dd25402d313fb64851721163c
26,ma-g12-technology-u01-l06,12,CORRECT,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l06.scoring-guide.json,9598c9097ba3a6e0f114820813978ead259db373d5f6a141065dcdd8e5d372fa,1bbb19aa0776806a7a55d800c98ae5b9f5faab2a9bcdcd0511f3763bac43b120
27,ma-g12-technology-u02-l01,12,PROBE,FORMATIVE_NO_PENALTY,STALE_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Each assignment uses current + delta; the tests return 4, 5, and 5.",trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l01.scoring-guide.json,e4dcad133faf19f99723160d6ee9155effe27eb4cedbfe66bdcdfe1997dc639b,e48e5f3008a3715e882facc2c97d6dce497fc2cb897a9257ce81dad84871d21b
28,ma-g12-technology-u02-l02,12,MODEL,FORMATIVE_NO_PENALTY,STALE_STATE_UPDATE,LEGITIMATE_WORKED_EXAMPLE,false,"Each assignment uses current + delta; the tests return 4, 5, and 5.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"Each assignment uses current + delta; the tests return 4, 5, and 5.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l02.scoring-guide.json,dc9bb2460a6d8794ad4c8b403ddfed37dcd9873a5dc4415c04d0a7e5410c24ee,ebc094fd6cda071807cb79108de797fc046eaa8f7bc1639cd93cefc35444cc8b
29,ma-g12-technology-u02-l03,12,GUIDED,PROGRESS_EVIDENCE,STALE_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Each assignment uses current + delta; the tests return 4, 5, and 5.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l03.scoring-guide.json,a7998669ec607196ab425a14fcef3f96b3b6f36f3dc78868e4ceb06e3e97d6c8,55ba681b145c285c9cb73af2a597892bd33b6f21997413c65e4f37b0f6b22318
30,ma-g12-technology-u02-l05,12,DEMONSTRATE,SUMMATIVE,STALE_STATE_UPDATE,SUMMATIVE_SOLUTION_EXPOSURE,true,"Each assignment uses current + delta; the tests return 4, 5, and 5.","trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l05.scoring-guide.json,861f2452fd2c4cf5b3627c5ad8247ea217e4a6ceae699c6fcf4696a214990b32,2502f5ddd4f8082679da41c38e2db3382dcabbabd05bc56eb3af7a2a43420e06
31,ma-g12-technology-u02-l06,12,CORRECT,PROGRESS_EVIDENCE,STALE_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Each assignment uses current + delta; the tests return 4, 5, and 5.",post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l06.scoring-guide.json,8a857328b51c62ee05fd94398b18c173869a331d6eeee7ec0a20402117b1b58c,188737269994e431f1c2da3bd44ac69f17d2ec8b7fd6fae91abe2f00391abebf
32,ma-g12-technology-u04-l03,12,GUIDED,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u04-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u04-l03.scoring-guide.json,e6563ce1bb9a509b23eaa8fc5f95f441b596d6439852de41e478a53efe04ddcf,2576adea8b1907fbbdce121da8e4796be11d75f4b3d39c165e23983c464ae323
33,ma-g12-technology-u04-l04,12,BUILD,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder plus trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Use the three tests to isolate one defect region, then choose and justify the smallest edit that satisfies the specification without weakening a boundary test.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u04-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u04-l04.scoring-guide.json,b92a17c4f0b6c828af92bfc2d1cdc7062c2538dd8b26355b19f2bd1e401e1d34,12a81edb138432241e9771c703aa8b4205bce9ba4164347db02cb9973bab53d9
34,ma-g12-technology-u05-l06,12,GUIDED_B,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u05-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u05-l06.scoring-guide.json,f9f41c0d543dd868bb2a37e8aab625a7e920f8535288345bd3b3568af7bfabc2,9d4a3cbf64428bdf8913bf45c269d1c9a2426acf372cde8138713ff5f4e44a5a
