course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
52,26,2,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l01,Launch and diagnostic,"financial risk to income, assets, health, or identity"
53,27,1,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l02,Concept model A,"accept, reduce, or transfer a risk"
54,27,2,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l03,Concept model B,how insurance transfers risk for a premium
55,28,1,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l04,Guided practice,"premium, deductible, and coverage limit"
56,28,2,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l05,Applied simulation,identity protection and everyday safeguards
57,29,1,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l06,Comparison and analysis,recognising common scams and pressure tactics
58,29,2,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l07,Error and misconception analysis,"financial risk to income, assets, health, or identity"
59,30,1,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l08,Transfer to a new case,"accept, reduce, or transfer a risk"
60,30,2,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l09,Synthesis and review,how insurance transfers risk for a premium
61,31,1,6,PF6 — Protecting and Insuring: Naming Risk and Deciding What to Do About It,ma-g9-financial-literacy-u06-l10,Unit performance task,"premium, deductible, and coverage limit"
62,31,2,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l01,Launch and diagnostic,"federal, state, and local taxes a person is likely to pay"
63,32,1,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l02,Concept model A,how withholding changes take-home pay
64,32,2,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l03,Concept model B,common IRS tax forms and what each is for
65,33,1,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l04,Guided practice,tax benefits and drawbacks in outline
66,33,2,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l05,Applied simulation,filing responsibilities and recordkeeping
67,34,1,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l06,Comparison and analysis,integrating PF1-PF7 into one plan
68,34,2,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l07,Error and misconception analysis,"federal, state, and local taxes a person is likely to pay"
69,35,1,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l08,Transfer to a new case,how withholding changes take-home pay
70,35,2,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l09,Synthesis and review,common IRS tax forms and what each is for
71,36,1,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l10,Unit performance task,tax benefits and drawbacks in outline
72,36,2,7,"PF7 — Paying Taxes: Taxes, Take-Home Pay, and Your First Forms",ma-g9-financial-literacy-u07-l11,Defense and extension,filing responsibilities and recordkeeping
