lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,evidence_type,standards
ma-g3-mathematics-u04-l14,ma-g3-mathematics,3,mathematics,68,4,"Properties, Patterns, and Two-Step Problems",14,"Performance task: build: problems with models, equations, and checks",Performance task: build,"problems with models, equations, and checks",project,3.OA.8;3.OA.9
ma-g3-mathematics-u04-l15,ma-g3-mathematics,3,mathematics,69,4,"Properties, Patterns, and Two-Step Problems",15,Synthesis and review: multi-step reasoning and pattern explanation,Synthesis and review,multi-step reasoning and pattern explanation,retrieval,3.OA.8;3.OA.9
ma-g3-mathematics-u04-l16,ma-g3-mathematics,3,mathematics,70,4,"Properties, Patterns, and Two-Step Problems",16,Unit assessment: two-step problems and pattern reasoning,Unit assessment,two-step problems and pattern reasoning,assessment,3.OA.5;3.OA.8;3.OA.9;3.NBT.3
ma-g3-mathematics-u04-l17,ma-g3-mathematics,3,mathematics,71,4,"Properties, Patterns, and Two-Step Problems",17,Targeted correction and reassessment: multi-step reasoning,Targeted correction and reassessment,multi-step reasoning,reassessment,3.OA.8;3.OA.9
ma-g3-mathematics-u04-l18,ma-g3-mathematics,3,mathematics,72,4,"Properties, Patterns, and Two-Step Problems",18,"Transfer, reflection, and publication: two-step reasoning in daily planning","Transfer, reflection, and publication",two-step reasoning in daily planning,independent-evidence,3.OA.8;MP.1;MP.4
ma-g3-mathematics-u05-l01,ma-g3-mathematics,3,mathematics,73,5,Understanding Fractions as Numbers,1,Launch and diagnostic: fair shares and what makes parts equal,Launch and diagnostic,fair shares and what makes parts equal,instruction,3.NF.1;MP.1
ma-g3-mathematics-u05-l02,ma-g3-mathematics,3,mathematics,74,5,Understanding Fractions as Numbers,2,Concept build A: partitioning shapes into equal parts,Concept build A,partitioning shapes into equal parts,instruction,3.NF.1;3.G.2
ma-g3-mathematics-u05-l03,ma-g3-mathematics,3,mathematics,75,5,Understanding Fractions as Numbers,3,Concept build B: unit fractions as one part of an equally partitioned whole,Concept build B,unit fractions as one part of an equally partitioned whole,instruction,3.NF.1
ma-g3-mathematics-u05-l04,ma-g3-mathematics,3,mathematics,76,5,Understanding Fractions as Numbers,4,Guided practice A: non-unit fractions from unit fractions,Guided practice A,non-unit fractions from unit fractions,guided-practice,3.NF.1
ma-g3-mathematics-u05-l05,ma-g3-mathematics,3,mathematics,77,5,Understanding Fractions as Numbers,5,Independent evidence A: naming fractions from area models,Independent evidence A,naming fractions from area models,independent-evidence,3.NF.1;3.G.2
ma-g3-mathematics-u05-l06,ma-g3-mathematics,3,mathematics,78,5,Understanding Fractions as Numbers,6,Concept build C: the number line as a length model for fractions,Concept build C,the number line as a length model for fractions,instruction,3.NF.2
ma-g3-mathematics-u05-l07,ma-g3-mathematics,3,mathematics,79,5,Understanding Fractions as Numbers,7,Guided practice B: locating unit fractions on the number line,Guided practice B,locating unit fractions on the number line,guided-practice,3.NF.2
ma-g3-mathematics-u05-l08,ma-g3-mathematics,3,mathematics,80,5,Understanding Fractions as Numbers,8,Error analysis and repair: tick-mark counting errors,Error analysis and repair,tick-mark counting errors,guided-practice,3.NF.2;MP.3
ma-g3-mathematics-u05-l09,ma-g3-mathematics,3,mathematics,81,5,Understanding Fractions as Numbers,9,Retrieval and fluency: naming and drawing unit fractions,Retrieval and fluency,naming and drawing unit fractions,retrieval,3.NF.1
ma-g3-mathematics-u05-l10,ma-g3-mathematics,3,mathematics,82,5,Understanding Fractions as Numbers,10,Independent evidence B: locating non-unit fractions on the number line,Independent evidence B,locating non-unit fractions on the number line,independent-evidence,3.NF.2
ma-g3-mathematics-u05-l11,ma-g3-mathematics,3,mathematics,83,5,Understanding Fractions as Numbers,11,Concept extension: fractions of a whole in measurement and sharing contexts,Concept extension,fractions of a whole in measurement and sharing contexts,instruction,3.NF.1;3.G.2
ma-g3-mathematics-u05-l12,ma-g3-mathematics,3,mathematics,84,5,Understanding Fractions as Numbers,12,Applied problem solving: why the whole must always be identified,Applied problem solving,why the whole must always be identified,independent-evidence,3.NF.1;MP.6
ma-g3-mathematics-u05-l13,ma-g3-mathematics,3,mathematics,85,5,Understanding Fractions as Numbers,13,Performance task: plan: the fraction number-line gallery,Performance task: plan,the fraction number-line gallery,project,3.NF.1;3.NF.2;MP.4
ma-g3-mathematics-u05-l14,ma-g3-mathematics,3,mathematics,86,5,Understanding Fractions as Numbers,14,Performance task: build: gallery entries with equal-partition evidence,Performance task: build,gallery entries with equal-partition evidence,project,3.NF.1;3.NF.2
ma-g3-mathematics-u05-l15,ma-g3-mathematics,3,mathematics,87,5,Understanding Fractions as Numbers,15,Synthesis and review: a fraction is a number,Synthesis and review,a fraction is a number,retrieval,3.NF.1;3.NF.2
ma-g3-mathematics-u05-l16,ma-g3-mathematics,3,mathematics,88,5,Understanding Fractions as Numbers,16,Unit assessment: fractions as numbers,Unit assessment,fractions as numbers,assessment,3.NF.1;3.NF.2;3.G.2
ma-g3-mathematics-u05-l17,ma-g3-mathematics,3,mathematics,89,5,Understanding Fractions as Numbers,17,Targeted correction and reassessment: partitioning and placement,Targeted correction and reassessment,partitioning and placement,reassessment,3.NF.1;3.NF.2
ma-g3-mathematics-u05-l18,ma-g3-mathematics,3,mathematics,90,5,Understanding Fractions as Numbers,18,"Transfer, reflection, and publication: fractions in measurement and sharing","Transfer, reflection, and publication",fractions in measurement and sharing,independent-evidence,3.NF.2;MP.4
ma-g3-mathematics-u06-l01,ma-g3-mathematics,3,mathematics,91,6,Equivalent Fractions and Comparison,1,Launch and diagnostic: two names for the same amount,Launch and diagnostic,two names for the same amount,instruction,3.NF.3;MP.1
ma-g3-mathematics-u06-l02,ma-g3-mathematics,3,mathematics,92,6,Equivalent Fractions and Comparison,2,Concept build A: equivalence seen on the number line,Concept build A,equivalence seen on the number line,instruction,3.NF.2;3.NF.3
ma-g3-mathematics-u06-l03,ma-g3-mathematics,3,mathematics,93,6,Equivalent Fractions and Comparison,3,Concept build B: equivalence seen with area models,Concept build B,equivalence seen with area models,instruction,3.NF.3;3.G.2
ma-g3-mathematics-u06-l04,ma-g3-mathematics,3,mathematics,94,6,Equivalent Fractions and Comparison,4,Guided practice A: generating simple equivalent fractions,Guided practice A,generating simple equivalent fractions,guided-practice,3.NF.3
ma-g3-mathematics-u06-l05,ma-g3-mathematics,3,mathematics,95,6,Equivalent Fractions and Comparison,5,Independent evidence A: recognizing equivalent fractions in models and notation,Independent evidence A,recognizing equivalent fractions in models and notation,independent-evidence,3.NF.3
ma-g3-mathematics-u06-l06,ma-g3-mathematics,3,mathematics,96,6,Equivalent Fractions and Comparison,6,Concept build C: whole numbers written as fractions,Concept build C,whole numbers written as fractions,instruction,3.NF.3
ma-g3-mathematics-u06-l07,ma-g3-mathematics,3,mathematics,97,6,Equivalent Fractions and Comparison,7,Guided practice B: fractions equal to whole numbers,Guided practice B,fractions equal to whole numbers,guided-practice,3.NF.3
ma-g3-mathematics-u06-l08,ma-g3-mathematics,3,mathematics,98,6,Equivalent Fractions and Comparison,8,Error analysis and repair: different-whole comparison errors,Error analysis and repair,different-whole comparison errors,guided-practice,3.NF.3;MP.3
ma-g3-mathematics-u06-l09,ma-g3-mathematics,3,mathematics,99,6,Equivalent Fractions and Comparison,9,Retrieval and fluency: unit fractions and equivalence,Retrieval and fluency,unit fractions and equivalence,retrieval,3.NF.1;3.NF.3
ma-g3-mathematics-u06-l10,ma-g3-mathematics,3,mathematics,100,6,Equivalent Fractions and Comparison,10,Independent evidence B: comparing fractions with the same numerator,Independent evidence B,comparing fractions with the same numerator,independent-evidence,3.NF.3
ma-g3-mathematics-u06-l11,ma-g3-mathematics,3,mathematics,101,6,Equivalent Fractions and Comparison,11,Concept extension: comparing fractions with the same denominator,Concept extension,comparing fractions with the same denominator,instruction,3.NF.3
ma-g3-mathematics-u06-l12,ma-g3-mathematics,3,mathematics,102,6,Equivalent Fractions and Comparison,12,Applied problem solving: justifying a comparison with a model and a symbol,Applied problem solving,justifying a comparison with a model and a symbol,independent-evidence,3.NF.3;MP.3
ma-g3-mathematics-u06-l13,ma-g3-mathematics,3,mathematics,103,6,Equivalent Fractions and Comparison,13,"Performance task: plan: the Same Size, Different Name proof set",Performance task: plan,"the Same Size, Different Name proof set",project,3.NF.3;MP.4
ma-g3-mathematics-u06-l14,ma-g3-mathematics,3,mathematics,104,6,Equivalent Fractions and Comparison,14,Performance task: build: proofs with models and written justifications,Performance task: build,proofs with models and written justifications,project,3.NF.3
ma-g3-mathematics-u06-l15,ma-g3-mathematics,3,mathematics,105,6,Equivalent Fractions and Comparison,15,Synthesis and review: equivalence and comparison,Synthesis and review,equivalence and comparison,retrieval,3.NF.1;3.NF.3
ma-g3-mathematics-u06-l16,ma-g3-mathematics,3,mathematics,106,6,Equivalent Fractions and Comparison,16,Unit assessment: equivalence and comparison,Unit assessment,equivalence and comparison,assessment,3.NF.1;3.NF.2;3.NF.3
ma-g3-mathematics-u06-l17,ma-g3-mathematics,3,mathematics,107,6,Equivalent Fractions and Comparison,17,Targeted correction and reassessment: comparison reasoning,Targeted correction and reassessment,comparison reasoning,reassessment,3.NF.3
ma-g3-mathematics-u06-l18,ma-g3-mathematics,3,mathematics,108,6,Equivalent Fractions and Comparison,18,"Transfer, reflection, and publication: recognizing the same amount written different ways","Transfer, reflection, and publication",recognizing the same amount written different ways,independent-evidence,3.NF.3;MP.4
ma-g3-mathematics-u07-l01,ma-g3-mathematics,3,mathematics,109,7,"Measurement: Time, Liquid Volume, and Mass",1,Launch and diagnostic: what we measure and why the unit matters,Launch and diagnostic,what we measure and why the unit matters,instruction,3.MD.1;3.MD.2;MP.6
ma-g3-mathematics-u07-l02,ma-g3-mathematics,3,mathematics,110,7,"Measurement: Time, Liquid Volume, and Mass",2,Concept build A: telling and writing time to the nearest minute,Concept build A,telling and writing time to the nearest minute,instruction,3.MD.1
ma-g3-mathematics-u07-l03,ma-g3-mathematics,3,mathematics,111,7,"Measurement: Time, Liquid Volume, and Mass",3,Concept build B: elapsed time on a number line,Concept build B,elapsed time on a number line,instruction,3.MD.1
ma-g3-mathematics-u07-l04,ma-g3-mathematics,3,mathematics,112,7,"Measurement: Time, Liquid Volume, and Mass",4,Guided practice A: adding and subtracting time intervals,Guided practice A,adding and subtracting time intervals,guided-practice,3.MD.1
ma-g3-mathematics-u07-l05,ma-g3-mathematics,3,mathematics,113,7,"Measurement: Time, Liquid Volume, and Mass",5,Independent evidence A: elapsed-time problems in real contexts,Independent evidence A,elapsed-time problems in real contexts,independent-evidence,3.MD.1
ma-g3-mathematics-u07-l06,ma-g3-mathematics,3,mathematics,114,7,"Measurement: Time, Liquid Volume, and Mass",6,Concept build C: measuring and estimating liquid volume in liters,Concept build C,measuring and estimating liquid volume in liters,instruction,3.MD.2;MP.5
ma-g3-mathematics-u07-l07,ma-g3-mathematics,3,mathematics,115,7,"Measurement: Time, Liquid Volume, and Mass",7,Guided practice B: measuring and estimating mass in grams and kilograms,Guided practice B,measuring and estimating mass in grams and kilograms,guided-practice,3.MD.2
ma-g3-mathematics-u07-l08,ma-g3-mathematics,3,mathematics,116,7,"Measurement: Time, Liquid Volume, and Mass",8,Error analysis and repair: unit-confusion and unreasonable-estimate errors,Error analysis and repair,unit-confusion and unreasonable-estimate errors,guided-practice,3.MD.2;MP.3
ma-g3-mathematics-u07-l09,ma-g3-mathematics,3,mathematics,117,7,"Measurement: Time, Liquid Volume, and Mass",9,Retrieval and fluency: time and unit benchmarks,Retrieval and fluency,time and unit benchmarks,retrieval,3.MD.1;3.MD.2
ma-g3-mathematics-u07-l10,ma-g3-mathematics,3,mathematics,118,7,"Measurement: Time, Liquid Volume, and Mass",10,Independent evidence B: one-step problems involving liquid volume and mass,Independent evidence B,one-step problems involving liquid volume and mass,independent-evidence,3.MD.2
