case_number,lesson_id,grade,phase,work_mode,scoring_stance,focus,classification,answer_authority_boundary_violation,generator_family,learner_visible_repair,authored_source,authored_source_line,generated_learner_package,generated_repair_line,correction_model,summative_pre_evidence_exposure,canonical_assessment_surface_exposes_repair
11,ma-g10-technology-u05-l03,10,Guided practice,GUIDED,PROGRESS_EVIDENCE,encryption and hashing concepts and common vulnerability classes,FULL_SOLUTION_BEFORE_ATTEMPT,true,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,27,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u05-l03.task-package.json,92,hint ladder,,
12,ma-g10-technology-u06-l02,10,Explicit model,MODEL,FORMATIVE_NO_PENALTY,structure and query implementation,LEGITIMATE_WORKED_EXAMPLE,false,DATA_AGGREGATION,"The reducer uses total + record.value; the tests return 6, 0, and 0.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,32,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u06-l02.task-package.json,93,worked example separation,,
13,ma-g11-technology-u01-l02,11,Explicit model,MODEL,FORMATIVE_NO_PENALTY,branching merging and conflict resolution,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,2,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u01-l02.task-package.json,92,worked example separation,,
14,ma-g11-technology-u01-l03,11,Guided practice,GUIDED,PROGRESS_EVIDENCE,code review and shared standards and refactoring and technical debt,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,3,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u01-l03.task-package.json,92,hint ladder,,
15,ma-g11-technology-u02-l01,11,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,objects classes and state,FULL_SOLUTION_BEFORE_ATTEMPT,true,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,7,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l01.task-package.json,92,trusted solution reference,,
16,ma-g11-technology-u02-l02,11,Explicit model,MODEL,FORMATIVE_NO_PENALTY,encapsulation and interfaces,LEGITIMATE_WORKED_EXAMPLE,false,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,8,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l02.task-package.json,92,worked example separation,,
17,ma-g11-technology-u02-l03,11,Guided practice,GUIDED,PROGRESS_EVIDENCE,composition and inheritance tradeoffs and modules and dependencies,FULL_SOLUTION_BEFORE_ATTEMPT,true,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,9,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l03.task-package.json,92,hint ladder,,
18,ma-g11-technology-u02-l05,11,Mastery check,DEMONSTRATE,SUMMATIVE,object-oriented and modular design,SUMMATIVE_SOLUTION_EXPOSURE,true,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,11,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
19,ma-g11-technology-u02-l06,11,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,object-oriented and modular design,FULL_SOLUTION_BEFORE_ATTEMPT,true,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,12,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l06.task-package.json,92,post-submission review,,
20,ma-g11-technology-u06-l03,11,Guided practice,GUIDED,PROGRESS_EVIDENCE,automated test coverage and accessibility conformance evidence,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-11/lessons.jsonl,33,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u06-l03.task-package.json,93,hint ladder,,
21,ma-g12-technology-u01-l01,12,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,graph representations and traversal,FULL_SOLUTION_BEFORE_ATTEMPT,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,1,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l01.task-package.json,92,trusted solution reference,,
22,ma-g12-technology-u01-l02,12,Explicit model,MODEL,FORMATIVE_NO_PENALTY,greedy and dynamic programming strategies,LEGITIMATE_WORKED_EXAMPLE,false,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,2,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l02.task-package.json,92,worked example separation,,
23,ma-g12-technology-u01-l03,12,Guided practice,GUIDED,PROGRESS_EVIDENCE,algorithm design strategies and intractability and heuristics,FULL_SOLUTION_BEFORE_ATTEMPT,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,3,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l03.task-package.json,92,hint ladder,,
24,ma-g12-technology-u01-l04,12,Application or project,BUILD,PROGRESS_EVIDENCE,correctness and complexity reasoning and algorithm selection under constraints,FULL_SOLUTION_BEFORE_ATTEMPT,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,4,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l04.task-package.json,92,hint ladder plus trusted solution reference,,
25,ma-g12-technology-u01-l05,12,Mastery check,DEMONSTRATE,SUMMATIVE,advanced algorithms and computational limits,SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,5,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
26,ma-g12-technology-u01-l06,12,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,advanced algorithms and computational limits,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,6,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l06.task-package.json,92,post-submission review,,
27,ma-g12-technology-u02-l01,12,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,memory models and resource limits,FULL_SOLUTION_BEFORE_ATTEMPT,true,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,7,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l01.task-package.json,93,trusted solution reference,,
28,ma-g12-technology-u02-l02,12,Explicit model,MODEL,FORMATIVE_NO_PENALTY,processes threads and concurrency,LEGITIMATE_WORKED_EXAMPLE,false,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,8,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l02.task-package.json,93,worked example separation,,
29,ma-g12-technology-u02-l03,12,Guided practice,GUIDED,PROGRESS_EVIDENCE,race conditions and safe coordination and profiling and bottleneck analysis,FULL_SOLUTION_BEFORE_ATTEMPT,true,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,9,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l03.task-package.json,93,hint ladder,,
30,ma-g12-technology-u02-l05,12,Mastery check,DEMONSTRATE,SUMMATIVE,"systems, concurrency, and performance",SUMMATIVE_SOLUTION_EXPOSURE,true,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,11,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l05.task-package.json,93,"trusted solution reference, then post-submission review",true,false
31,ma-g12-technology-u02-l06,12,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,"systems, concurrency, and performance",FULL_SOLUTION_BEFORE_ATTEMPT,true,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,12,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l06.task-package.json,93,post-submission review,,
32,ma-g12-technology-u04-l03,12,Guided practice,GUIDED,PROGRESS_EVIDENCE,accessibility obligations and algorithmic accountability and auditing,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,21,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u04-l03.task-package.json,92,hint ladder,,
33,ma-g12-technology-u04-l04,12,Application or project,BUILD,PROGRESS_EVIDENCE,labor economic and environmental effects and professional codes of conduct,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,22,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u04-l04.task-package.json,92,hint ladder plus trusted solution reference,,
34,ma-g12-technology-u05-l06,12,Guided practice B,GUIDED_B,PROGRESS_EVIDENCE,iteration from feedback,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-12/lessons.jsonl,30,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u05-l06.task-package.json,93,hint ladder,,
35,ma-g3-tech-cs-u03-l06,3,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,basic word processing,FULL_SOLUTION_BEFORE_ATTEMPT,true,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-3/lessons.jsonl,18,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u03-l06.task-package.json,102,post-submission review,,
36,ma-g3-tech-cs-u04-l01,3,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,what is an algorithm,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-3/lessons.jsonl,19,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u04-l01.task-package.json,103,trusted solution reference,,
37,ma-g3-tech-cs-u04-l02,3,Explicit model,MODEL,FORMATIVE_NO_PENALTY,everyday sequences,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-3/lessons.jsonl,20,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u04-l02.task-package.json,105,worked example separation,,
38,ma-g3-tech-cs-u05-l01,3,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,sorting and counting objects,FULL_SOLUTION_BEFORE_ATTEMPT,true,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-3/lessons.jsonl,25,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u05-l01.task-package.json,104,trusted solution reference,,
39,ma-g3-tech-cs-u05-l02,3,Explicit model,MODEL,FORMATIVE_NO_PENALTY,simple picture graphs,LEGITIMATE_WORKED_EXAMPLE,false,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-3/lessons.jsonl,26,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u05-l02.task-package.json,106,worked example separation,,
40,ma-g4-tech-cs-u02-l02,4,Explicit model,MODEL,FORMATIVE_NO_PENALTY,input process output,LEGITIMATE_WORKED_EXAMPLE,false,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-4/lessons.jsonl,8,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u02-l02.task-package.json,105,worked example separation,,
41,ma-g4-tech-cs-u04-l01,4,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,sequence review,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-4/lessons.jsonl,19,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l01.task-package.json,103,trusted solution reference,,
42,ma-g4-tech-cs-u04-l02,4,Explicit model,MODEL,FORMATIVE_NO_PENALTY,events,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-4/lessons.jsonl,20,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l02.task-package.json,105,worked example separation,,
43,ma-g4-tech-cs-u04-l03,4,Guided practice,GUIDED,PROGRESS_EVIDENCE,loops and repeats,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-4/lessons.jsonl,21,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l03.task-package.json,101,hint ladder,,
44,ma-g4-tech-cs-u04-l04,4,Application or project,BUILD,PROGRESS_EVIDENCE,conditionals: if-then,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-4/lessons.jsonl,22,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l04.task-package.json,104,hint ladder plus trusted solution reference,,
45,ma-g4-tech-cs-u04-l05,4,Mastery check,DEMONSTRATE,SUMMATIVE,simple variables,SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-4/lessons.jsonl,23,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l05.task-package.json,103,"trusted solution reference, then post-submission review",true,false
46,ma-g4-tech-cs-u04-l06,4,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,testing and debugging a program,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-g34-tech-arts-r1/curriculum-authoring/full-family-grade34/subjects/technology-computer-science/grade-4/lessons.jsonl,24,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l06.task-package.json,101,post-submission review,,
47,ma-g5-technology-u04-l01,5,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,sequence,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-5/courses/technology/lessons.jsonl,19,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l01.task-package.json,103,trusted solution reference,,
48,ma-g5-technology-u04-l02,5,Explicit model,MODEL,FORMATIVE_NO_PENALTY,events,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-5/courses/technology/lessons.jsonl,20,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l02.task-package.json,105,worked example separation,,
49,ma-g5-technology-u04-l03,5,Guided practice,GUIDED,PROGRESS_EVIDENCE,loops,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-5/courses/technology/lessons.jsonl,21,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l03.task-package.json,101,hint ladder,,
50,ma-g5-technology-u04-l04,5,Application or project,BUILD,PROGRESS_EVIDENCE,conditionals,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-5/courses/technology/lessons.jsonl,22,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l04.task-package.json,104,hint ladder plus trusted solution reference,,
51,ma-g5-technology-u04-l05,5,Mastery check,DEMONSTRATE,SUMMATIVE,variables,SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-5/courses/technology/lessons.jsonl,23,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l05.task-package.json,103,"trusted solution reference, then post-submission review",true,false
52,ma-g5-technology-u04-l06,5,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,testing and debugging,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-5/courses/technology/lessons.jsonl,24,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l06.task-package.json,101,post-submission review,,
53,ma-g5-technology-u06-l05,5,Mastery check,DEMONSTRATE,SUMMATIVE,iteration,SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-5/courses/technology/lessons.jsonl,35,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u06-l05.task-package.json,104,"trusted solution reference, then post-submission review",true,false
