mapping_number,protected_lesson_id,course_ref,generator_family_before,protected_classification,summative,exposing_worked_examples_before,before_equivalence,after_equivalence,exposed_after,generated_learner_package,adult_scoring_guide,after_package_sha256,after_scoring_guide_sha256
11,ma-g11-technology-u02-l05,ma-g11-technology,OBJECT_STATE_UPDATE,SUMMATIVE_SOLUTION_EXPOSURE,true,ma-g11-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l05.scoring-guide.json,27b8f46ad3c068bff1ac75f42bb78741c0c76ae89617a6663bd0a197f42b9493,4d70bbd4096f80ab0fed71460ad64d3c327c3cf4aa08af599a174754ffaca3a8
12,ma-g11-technology-u02-l06,ma-g11-technology,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g11-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l06.scoring-guide.json,0455815612e04ee90d13af9f6d1cddf9c95ca7455979c0f778e8f109ff2ac97c,cce1d7b7d2f1b0be36d598595c660d079f9676a67c499378cb7fba360bf5c580
13,ma-g11-technology-u06-l03,ma-g11-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g11-technology-u01-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u06-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u06-l03.scoring-guide.json,6007d40110de3f433ccd553046219b714e5f44c973271698daa1dcb8f10e2699,4efc3ddd6a6208cb4548378cb3cc5c826e4a9ccbae838485a68c897302eb07ba
14,ma-g12-technology-u01-l01,ma-g12-technology,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g12-technology-u01-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l01.scoring-guide.json,20f521f6579c5ee482a0e34980bd0bb0610c109fff6f3144fba6bb3b09dc756e,8c23e628242106190524680c48f7e42883bd2d8a0228a5593b9d72204c5ffb1c
15,ma-g12-technology-u01-l03,ma-g12-technology,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g12-technology-u01-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l03.scoring-guide.json,6fd0a130f3a72c0b16aff0c421c50d2e912cf4d477aa9a72551e13698e2e59d3,24275aaf26859efacbd1c336b95e673ede45a3801a67f40289ae7e10645fa63a
16,ma-g12-technology-u01-l04,ma-g12-technology,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g12-technology-u01-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u01-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u01-l04.scoring-guide.json,0226d896a9061ce8b04ac452c33fa8ca19343fc69e31fcc571f877a99d58c885,b423b65ad83fa14011e7e6f10cd4f69d284b42bc65f04fc255bc791a603eceb6
17,ma-g12-technology-u02-l01,ma-g12-technology,STALE_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g12-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l01.scoring-guide.json,e4dcad133faf19f99723160d6ee9155effe27eb4cedbfe66bdcdfe1997dc639b,e48e5f3008a3715e882facc2c97d6dce497fc2cb897a9257ce81dad84871d21b
18,ma-g12-technology-u02-l03,ma-g12-technology,STALE_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g12-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l03.scoring-guide.json,a7998669ec607196ab425a14fcef3f96b3b6f36f3dc78868e4ceb06e3e97d6c8,55ba681b145c285c9cb73af2a597892bd33b6f21997413c65e4f37b0f6b22318
19,ma-g12-technology-u02-l05,ma-g12-technology,STALE_STATE_UPDATE,SUMMATIVE_SOLUTION_EXPOSURE,true,ma-g12-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l05.scoring-guide.json,861f2452fd2c4cf5b3627c5ad8247ea217e4a6ceae699c6fcf4696a214990b32,2502f5ddd4f8082679da41c38e2db3382dcabbabd05bc56eb3af7a2a43420e06
20,ma-g12-technology-u02-l06,ma-g12-technology,STALE_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g12-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-12/ma-g12-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-12/ma-g12-technology-u02-l06.scoring-guide.json,8a857328b51c62ee05fd94398b18c173869a331d6eeee7ec0a20402117b1b58c,188737269994e431f1c2da3bd44ac69f17d2ec8b7fd6fae91abe2f00391abebf
21,ma-g3-tech-cs-u04-l01,ma-g3-tech-cs,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g3-tech-cs-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u04-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-03/ma-g3-tech-cs-u04-l01.scoring-guide.json,947520553b8598cc159fbb02112120764d942c79cae816d89addf15eb5468ed4,586880e5733d3150936f8363ad7b9a89681680fa007444c8d08e70cc89baecd6
22,ma-g4-tech-cs-u04-l01,ma-g4-tech-cs,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g4-tech-cs-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l01.scoring-guide.json,f27e57945d28eef3a38b5f58868884b62d23c5439cfaa1792df965d99aad4ee8,5db00f19d69d2ed849c8154cd13fda15bea72966983e3740a4364dd85f4c72eb
23,ma-g4-tech-cs-u04-l03,ma-g4-tech-cs,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g4-tech-cs-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l03.scoring-guide.json,dff7bcc7e92ed9d1b057179c864c47af59f7b50a128f66b7abbc2faa4300ac0c,2ee7848712ae13834da52a37826ec1204e18e789cea7c298c07bae96fdbdd42b
24,ma-g4-tech-cs-u04-l04,ma-g4-tech-cs,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g4-tech-cs-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l04.scoring-guide.json,457a449546451de8714108b9fb21004e4bfc83a66c8015ec19cd4528c060a672,cc21425faf1115817a5a43169a65e40992ba8f32cc283f9d72f964b187caa5fe
25,ma-g4-tech-cs-u04-l05,ma-g4-tech-cs,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,ma-g4-tech-cs-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l05.scoring-guide.json,620197f868ca41388b0cd9e8626a99e962352d85f3727671fcc60e18f0525976,881492217d1f0b449eca12240e42828d113ad3f7ecca9b9a17311c71a9c5cea1
26,ma-g4-tech-cs-u04-l06,ma-g4-tech-cs,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g4-tech-cs-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l06.scoring-guide.json,dc706f07cbeb7686fe026f4f1f9b145f37cba97e31db03d8be232854d3f07312,b78d9ac615fa4935cac85f6c379ba2a3e691cfc922b3aa387e0fb55052715f93
27,ma-g5-technology-u04-l01,ma-g5-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g5-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l01.scoring-guide.json,3a70a4fb72e54a7f86909fe35b850806a4c6bc7fcd71db135a8ffcc4afbae5e5,f082af0b213b0c2093d7b5dee355a841e753877c04ff685473251b10ac757279
28,ma-g5-technology-u04-l03,ma-g5-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g5-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l03.scoring-guide.json,1c781784ab9de473e85f2516e970172f481898187101a51e468a1e3766b4a612,7539d0ab47932535a59475c12101d4fdd8dd238800bc99a40d8ab35591276d0e
29,ma-g5-technology-u04-l04,ma-g5-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g5-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l04.scoring-guide.json,766d0ac730c630aeb13acd9a34c7cba8e1296846b913cf6704b1979919cd28cc,ec437fdcd2cd645782228c9386a4538a57801fa7353849843aaadc8041c7202a
30,ma-g5-technology-u04-l05,ma-g5-technology,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,ma-g5-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l05.scoring-guide.json,681a52c46f2134fac58a147b4cce7ad34ff927b3a6d83c73f53c5fb3c06bdbe5,0386a063246c7fa5d79eda9d558b52afea4931027152f0ba3d5db51721b0b4fc
31,ma-g5-technology-u04-l06,ma-g5-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g5-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l06.scoring-guide.json,b8484931b1db4850286129d907778094a0a5451d9d3dd98d693865a94d5d3775,303431ea76e3f33ef4cebdf76e76c7906b857488193d06e0fe952a0ac3bfdb8d
32,ma-g5-technology-u06-l05,ma-g5-technology,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,ma-g5-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u06-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u06-l05.scoring-guide.json,6dc4f34d8593b14d5205c4f538d24ecd791b17a075f0a1dbdb5614471cbaadcc,b6cd1580801b983243d7a633902378554673072d1bb9b3e41cf0d3ac1f976068
33,ma-g7-technology-u02-l01,ma-g7-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g7-technology-u02-l02|ma-g7-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l01.scoring-guide.json,6be64e4384bc486eefc5415276094b8b427667aadd4ecc637020d43642781f45,1cd2a57bb8329967780846ddf9e501de9cbd01d005dc95ce0181a4337d5be8e3
34,ma-g7-technology-u02-l04,ma-g7-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g7-technology-u02-l02|ma-g7-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l04.scoring-guide.json,b3a4c464328fcde32fb6d89d7ae16b1dba4663946c39c12c73d88382728902a3,fbd431fe6d87f698f8263c8675a092b9e808397633fca29451b95afbf1e99ce6
35,ma-g7-technology-u02-l05,ma-g7-technology,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,ma-g7-technology-u02-l02|ma-g7-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l05.scoring-guide.json,145213696d9b7609566bc1fceaeff87ab963b000dd145b9ffc86193a646ba9fe,67b3c7ac060945c829fa2c57b060bb3a61e94f91c7b91c0c65ac8b9e6130bf37
36,ma-g7-technology-u02-l06,ma-g7-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g7-technology-u02-l02|ma-g7-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l06.scoring-guide.json,2533d731f25c3183da62872e572b664c491148eaf6caa24f9ea3431137dddbd3,45717aa1dcb6cff4853d496b1f27ac4d74b8e336ca9db4515429291da5c4ab0a
37,ma-g7-technology-u06-l06,ma-g7-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g7-technology-u02-l02|ma-g7-technology-u04-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u06-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u06-l06.scoring-guide.json,fff138a4f7edfe3d0fc80721c389e11b6a2dba07f53accce640434204e0fc76c,c034c8a82cd3fe344d9e31ba8b0f2da94f36c7b329f8c36cd6eb077877d0c10d
38,ma-g8-technology-u01-l03,ma-g8-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g8-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-08/ma-g8-technology-u01-l03.scoring-guide.json,864835ae8256af56ae7b7424194a83718646ba3f451a5dd063055ff8b0a5dc4f,ead8689d4096e1dc0e8713b1a577e57b34e8078c82e11c385ed2fdb8ec9697aa
