course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
52,11,2,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l16,Unit assessment,how an author refines a key term over a text
53,11,3,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l17,Targeted correction,whether a structure makes points convincing
54,11,4,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l18,"Publication, presentation, or reflection","a speaker's stance, premises, and links among ideas"
55,11,5,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l01,Launch and diagnostic,where a story is set and how action is ordered
56,12,1,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l02,Concept model A,how characters are introduced and developed
57,12,2,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l03,Guided practice A,structural choice and aesthetic impact
58,12,3,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l04,Independent application A,"language that is fresh, engaging, or beautiful"
59,12,4,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l05,Concept model B,building toward a particular tone and outcome
60,12,5,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l06,Guided practice B,varying syntax for effect
61,13,1,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l07,Investigation or close reading,where a story is set and how action is ordered
62,13,2,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l08,Reteach and varied practice,how characters are introduced and developed
63,13,3,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l09,Concept model C,structural choice and aesthetic impact
64,13,4,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l10,Discussion or problem seminar,"language that is fresh, engaging, or beautiful"
65,13,5,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l11,Performance task planning,building toward a particular tone and outcome
66,14,1,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l12,Performance task build,varying syntax for effect
67,14,2,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l13,Skill consolidation,where a story is set and how action is ordered
68,14,3,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l14,Transfer challenge,how characters are introduced and developed
69,14,4,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l15,Assessment preparation,structural choice and aesthetic impact
70,14,5,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l16,Unit assessment,"language that is fresh, engaging, or beautiful"
71,15,1,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l17,Targeted correction,building toward a particular tone and outcome
72,15,2,4,Author's Craft: Developing and Relating Elements,ma-g11-english-language-arts-u04-l18,"Publication, presentation, or reflection",varying syntax for effect
73,15,3,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l01,Launch and diagnostic,nineteenth-century foundational works
74,15,4,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l02,Concept model A,themes that interact to produce a complex account
75,15,5,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l03,Guided practice A,Lincoln's Second Inaugural and period documents
76,16,1,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l04,Independent application A,"satire, sarcasm, irony, and understatement"
77,16,2,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l05,Concept model B,literary dissent and national argument
78,16,3,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l06,Guided practice B,comparative analysis across a period
79,16,4,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l07,Investigation or close reading,nineteenth-century foundational works
80,16,5,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l08,Reteach and varied practice,themes that interact to produce a complex account
81,17,1,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l09,Concept model C,Lincoln's Second Inaugural and period documents
82,17,2,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l10,Discussion or problem seminar,"satire, sarcasm, irony, and understatement"
83,17,3,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l11,Performance task planning,literary dissent and national argument
84,17,4,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l12,Performance task build,comparative analysis across a period
85,17,5,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l13,Skill consolidation,nineteenth-century foundational works
86,18,1,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l14,Transfer challenge,themes that interact to produce a complex account
87,18,2,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l15,Assessment preparation,Lincoln's Second Inaugural and period documents
88,18,3,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l16,Unit assessment,"satire, sarcasm, irony, and understatement"
89,18,4,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l17,Targeted correction,literary dissent and national argument
90,18,5,5,Nineteenth-Century American Literature and Dissent,ma-g11-english-language-arts-u05-l18,"Publication, presentation, or reflection",comparative analysis across a period
91,19,1,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l01,Launch and diagnostic,sustained research from a self-generated question
92,19,2,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l02,Concept model A,strengths and limitations of each source
93,19,3,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l03,Guided practice A,avoiding overreliance on any one source
94,19,4,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l04,Independent application A,integrating multiple formats to solve a problem
95,19,5,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l05,Concept model B,noting discrepancies among the data
96,20,1,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l06,Guided practice B,conforming to a discipline's style manual
97,20,2,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l07,Investigation or close reading,sustained research from a self-generated question
98,20,3,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l08,Reteach and varied practice,strengths and limitations of each source
99,20,4,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l09,Concept model C,avoiding overreliance on any one source
100,20,5,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l10,Discussion or problem seminar,integrating multiple formats to solve a problem
101,21,1,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l11,Performance task planning,noting discrepancies among the data
102,21,2,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l12,Performance task build,conforming to a discipline's style manual
103,21,3,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l13,Skill consolidation,sustained research from a self-generated question
104,21,4,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l14,Transfer challenge,strengths and limitations of each source
105,21,5,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l15,Assessment preparation,avoiding overreliance on any one source
106,22,1,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l16,Unit assessment,integrating multiple formats to solve a problem
107,22,2,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l17,Targeted correction,noting discrepancies among the data
108,22,3,6,Complex Synthesis and Multi-Source Research,ma-g11-english-language-arts-u06-l18,"Publication, presentation, or reflection",conforming to a discipline's style manual
109,22,4,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l01,Launch and diagnostic,rhetoric that is particularly effective
110,22,5,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l02,Concept model A,how style and content create power or persuasiveness
111,23,1,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l03,Guided practice A,evaluating the effectiveness of a structure
112,23,2,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l04,Independent application A,"assessing stance, word choice, and tone"
113,23,3,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l05,Concept model B,multiple interpretations of a drama or poem
114,23,4,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l06,Guided practice B,conveying a clear and distinct perspective
115,23,5,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l07,Investigation or close reading,rhetoric that is particularly effective
116,24,1,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l08,Reteach and varied practice,how style and content create power or persuasiveness
117,24,2,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l09,Concept model C,evaluating the effectiveness of a structure
118,24,3,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l10,Discussion or problem seminar,"assessing stance, word choice, and tone"
119,24,4,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l11,Performance task planning,multiple interpretations of a drama or poem
120,24,5,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l12,Performance task build,conveying a clear and distinct perspective
121,25,1,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l13,Skill consolidation,rhetoric that is particularly effective
122,25,2,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l14,Transfer challenge,how style and content create power or persuasiveness
123,25,3,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l15,Assessment preparation,evaluating the effectiveness of a structure
124,25,4,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l16,Unit assessment,"assessing stance, word choice, and tone"
125,25,5,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l17,Targeted correction,multiple interpretations of a drama or poem
126,26,1,7,Rhetorical Power and Effective Style,ma-g11-english-language-arts-u07-l18,"Publication, presentation, or reflection",conveying a clear and distinct perspective
127,26,2,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l01,Launch and diagnostic,usage as convention that changes and is contested
128,26,3,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l02,Concept model A,resolving contested usage with cited references
129,26,4,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l03,Guided practice A,hyphenation conventions
130,26,5,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l04,Independent application A,syntax varied for effect in complex texts
131,27,1,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l05,Concept model B,word-change patterns and etymology
132,27,2,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l06,Guided practice B,"hyperbole, paradox, and nuance"
133,27,3,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l07,Investigation or close reading,usage as convention that changes and is contested
134,27,4,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l08,Reteach and varied practice,resolving contested usage with cited references
135,27,5,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l09,Concept model C,hyphenation conventions
136,28,1,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l10,Discussion or problem seminar,syntax varied for effect in complex texts
137,28,2,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l11,Performance task planning,word-change patterns and etymology
138,28,3,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l12,Performance task build,"hyperbole, paradox, and nuance"
139,28,4,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l13,Skill consolidation,usage as convention that changes and is contested
140,28,5,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l14,Transfer challenge,resolving contested usage with cited references
141,29,1,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l15,Assessment preparation,hyphenation conventions
142,29,2,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l16,Unit assessment,syntax varied for effect in complex texts
143,29,3,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l17,Targeted correction,word-change patterns and etymology
144,29,4,8,Contested Usage and the Sentence,ma-g11-english-language-arts-u08-l18,"Publication, presentation, or reflection","hyperbole, paradox, and nuance"
145,29,5,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l01,Launch and diagnostic,early-twentieth-century foundational works
146,30,1,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l02,Concept model A,multiple interpretations of one dramatic work
147,30,2,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l03,Guided practice A,what is directly stated versus what is meant
148,30,3,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l04,Independent application A,words with multiple meanings in literary language
149,30,4,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l05,Concept model B,at least one Shakespeare play and one American dramatist
150,30,5,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l06,Guided practice B,resolving contradictions in discussion
151,31,1,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l07,Investigation or close reading,early-twentieth-century foundational works
152,31,2,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l08,Reteach and varied practice,multiple interpretations of one dramatic work
153,31,3,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l09,Concept model C,what is directly stated versus what is meant
154,31,4,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l10,Discussion or problem seminar,words with multiple meanings in literary language
155,31,5,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l11,Performance task planning,at least one Shakespeare play and one American dramatist
156,32,1,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l12,Performance task build,resolving contradictions in discussion
157,32,2,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l13,Skill consolidation,early-twentieth-century foundational works
158,32,3,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l14,Transfer challenge,multiple interpretations of one dramatic work
159,32,4,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l15,Assessment preparation,what is directly stated versus what is meant
160,32,5,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l16,Unit assessment,words with multiple meanings in literary language
161,33,1,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l17,Targeted correction,at least one Shakespeare play and one American dramatist
162,33,2,9,Early Twentieth-Century Works and Interpretation,ma-g11-english-language-arts-u09-l18,"Publication, presentation, or reflection",resolving contradictions in discussion
163,33,3,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l01,Launch and diagnostic,"precise, knowledgeable claims and their significance"
164,33,4,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l02,Concept model A,logically sequencing claims and counterclaims
165,33,5,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l03,Guided practice A,audience values and possible biases
166,34,1,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l04,Independent application A,publishing in response to ongoing feedback
167,34,2,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l05,Concept model B,routine writing over extended time frames
168,34,3,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l06,Guided practice B,addressing alternative or opposing perspectives
169,34,4,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l07,Investigation or close reading,"precise, knowledgeable claims and their significance"
170,34,5,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l08,Reteach and varied practice,logically sequencing claims and counterclaims
171,35,1,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l09,Concept model C,audience values and possible biases
172,35,2,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l10,Discussion or problem seminar,publishing in response to ongoing feedback
173,35,3,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l11,Performance task planning,routine writing over extended time frames
174,35,4,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l12,Performance task build,addressing alternative or opposing perspectives
175,35,5,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l13,Skill consolidation,"precise, knowledgeable claims and their significance"
176,36,1,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l14,Transfer challenge,logically sequencing claims and counterclaims
177,36,2,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l15,Assessment preparation,audience values and possible biases
178,36,3,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l16,Unit assessment,publishing in response to ongoing feedback
179,36,4,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l17,Targeted correction,routine writing over extended time frames
180,36,5,10,Complex Argument Portfolio and Defense,ma-g11-english-language-arts-u10-l18,"Publication, presentation, or reflection",addressing alternative or opposing perspectives
