lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,standards,evidence_mode,assessed,text_id
ma-g3-english-language-arts-u01-l17,ma-g3-english-language-arts,3,english-language-arts,17,1,"Readers and Writers Begin: Habits, Print, and Sentences",17,Unit assessment: unit evidence: text-based answers written in complete sentences,Unit assessment,unit evidence: text-based answers written in complete sentences,3.RL.1;3.RI.1;3.L.1;3.L.2,independent,yes,g3-text-01
ma-g3-english-language-arts-u01-l18,ma-g3-english-language-arts,3,english-language-arts,18,1,"Readers and Writers Begin: Habits, Print, and Sentences",18,"Correction, publication, and reflection: correcting one item and publishing the Reader-and-Writer Plan card","Correction, publication, and reflection",correcting one item and publishing the Reader-and-Writer Plan card,3.W.10;3.SL.6,guided,no,g3-text-02
ma-g3-english-language-arts-u02-l01,ma-g3-english-language-arts,3,english-language-arts,19,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",1,Launch and baseline: reading longer words aloud and noticing exactly where you slow down,Launch and baseline,reading longer words aloud and noticing exactly where you slow down,3.RF.3;3.RF.4,guided,no,g3-text-03
ma-g3-english-language-arts-u02-l02,ma-g3-english-language-arts,3,english-language-arts,20,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",2,Word work and decoding focus: syllable patterns and where a longer word can be split,Word work and decoding focus,syllable patterns and where a longer word can be split,3.RF.3,guided,no,g3-text-04
ma-g3-english-language-arts-u02-l03,ma-g3-english-language-arts,3,english-language-arts,21,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",3,"Explicit model A: prefixes un-, re-, pre-, and dis- and what each does to meaning",Explicit model A,"prefixes un-, re-, pre-, and dis- and what each does to meaning",3.RF.3;3.L.4,guided,no,g3-text-03
ma-g3-english-language-arts-u02-l04,ma-g3-english-language-arts,3,english-language-arts,22,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",4,Guided practice A: reading and explaining prefixed words inside real sentences,Guided practice A,reading and explaining prefixed words inside real sentences,3.RF.3;3.L.4,guided,no,g3-text-04
ma-g3-english-language-arts-u02-l05,ma-g3-english-language-arts,3,english-language-arts,23,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",5,Fluency and rereading practice: rereading a passage until its longer words no longer interrupt you,Fluency and rereading practice,rereading a passage until its longer words no longer interrupt you,3.RF.4,guided,no,g3-text-03
ma-g3-english-language-arts-u02-l06,ma-g3-english-language-arts,3,english-language-arts,24,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",6,Independent application A: decoding six new multisyllabic words and checking each meaning,Independent application A,decoding six new multisyllabic words and checking each meaning,3.RF.3;3.L.4,independent,no,g3-text-04
ma-g3-english-language-arts-u02-l07,ma-g3-english-language-arts,3,english-language-arts,25,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",7,"Explicit model B: suffixes -ful, -less, -ly, -ness, and the Latin -ment, -tion, and -able",Explicit model B,"suffixes -ful, -less, -ly, -ness, and the Latin -ment, -tion, and -able",3.RF.3;3.L.4,guided,no,g3-text-03
ma-g3-english-language-arts-u02-l08,ma-g3-english-language-arts,3,english-language-arts,26,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",8,Guided practice B: adding and removing endings without breaking the base word,Guided practice B,adding and removing endings without breaking the base word,3.L.2;3.RF.3,guided,no,g3-text-04
ma-g3-english-language-arts-u02-l09,ma-g3-english-language-arts,3,english-language-arts,27,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",9,Shared close reading: finding word parts at work inside an informational passage,Shared close reading,finding word parts at work inside an informational passage,3.RI.4;3.RF.3,guided,no,g3-text-03
ma-g3-english-language-arts-u02-l10,ma-g3-english-language-arts,3,english-language-arts,28,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",10,Reteach and varied practice: words that break the pattern and have to be known on sight,Reteach and varied practice,words that break the pattern and have to be known on sight,3.RF.3,guided,no,g3-text-04
ma-g3-english-language-arts-u02-l11,ma-g3-english-language-arts,3,english-language-arts,29,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",11,"Vocabulary and language study: using a known root to predict a meaning, then checking a glossary",Vocabulary and language study,"using a known root to predict a meaning, then checking a glossary",3.L.4,guided,no,g3-text-03
ma-g3-english-language-arts-u02-l12,ma-g3-english-language-arts,3,english-language-arts,30,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",12,Writing plan and draft: drafting a toolkit entry that teaches one word to another reader,Writing plan and draft,drafting a toolkit entry that teaches one word to another reader,3.W.2;3.L.4,guided,no,learner-produced
ma-g3-english-language-arts-u02-l13,ma-g3-english-language-arts,3,english-language-arts,31,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",13,Writing revise and edit: editing spelling when an ending is added to a base word,Writing revise and edit,editing spelling when an ending is added to a base word,3.L.2,guided,no,learner-produced
ma-g3-english-language-arts-u02-l14,ma-g3-english-language-arts,3,english-language-arts,32,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",14,Talk and listening practice: explaining a word's meaning aloud so a listener can use it correctly,Talk and listening practice,explaining a word's meaning aloud so a listener can use it correctly,3.SL.4,guided,no,g3-text-04
ma-g3-english-language-arts-u02-l15,ma-g3-english-language-arts,3,english-language-arts,33,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",15,"Skill consolidation and retrieval: retrieving prefixes, suffixes, roots, and syllable moves together",Skill consolidation and retrieval,"retrieving prefixes, suffixes, roots, and syllable moves together",3.RF.3;3.L.4,independent,no,g3-text-03
ma-g3-english-language-arts-u02-l16,ma-g3-english-language-arts,3,english-language-arts,34,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",16,Transfer to a new text: decoding unfamiliar words in a new science-style passage,Transfer to a new text,decoding unfamiliar words in a new science-style passage,3.RF.3;3.RI.4,independent,no,g3-text-04
ma-g3-english-language-arts-u02-l17,ma-g3-english-language-arts,3,english-language-arts,35,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",17,"Unit assessment: unit evidence: decoding, word-part reasoning, and correct use",Unit assessment,"unit evidence: decoding, word-part reasoning, and correct use",3.RF.3;3.L.4;3.L.2,independent,yes,g3-text-03
ma-g3-english-language-arts-u02-l18,ma-g3-english-language-arts,3,english-language-arts,36,2,"Word Builders: Syllables, Prefixes, Suffixes, and Roots",18,"Correction, publication, and reflection: correcting one entry and publishing the Word-Parts toolkit","Correction, publication, and reflection",correcting one entry and publishing the Word-Parts toolkit,3.W.2;3.L.4,guided,no,g3-text-04
ma-g3-english-language-arts-u03-l01,ma-g3-english-language-arts,3,english-language-arts,37,3,"Story Elements: Characters, Problems, and Lessons",1,Launch and baseline: retelling a short story in order without adding anything new,Launch and baseline,retelling a short story in order without adding anything new,3.RL.2,guided,no,g3-text-05
ma-g3-english-language-arts-u03-l02,ma-g3-english-language-arts,3,english-language-arts,38,3,"Story Elements: Characters, Problems, and Lessons",2,"Word work and decoding focus: reading character words such as stubborn, uneasy, and determined",Word work and decoding focus,"reading character words such as stubborn, uneasy, and determined",3.RF.3;3.L.4,guided,no,g3-text-06
ma-g3-english-language-arts-u03-l03,ma-g3-english-language-arts,3,english-language-arts,39,3,"Story Elements: Characters, Problems, and Lessons",3,"Explicit model A: traits, feelings, and motivations are shown through actions",Explicit model A,"traits, feelings, and motivations are shown through actions",3.RL.3,guided,no,g3-text-17
ma-g3-english-language-arts-u03-l04,ma-g3-english-language-arts,3,english-language-arts,40,3,"Story Elements: Characters, Problems, and Lessons",4,Guided practice A: naming a trait and proving it with one action from the text,Guided practice A,naming a trait and proving it with one action from the text,3.RL.3;3.RL.1,guided,no,g3-text-05
ma-g3-english-language-arts-u03-l05,ma-g3-english-language-arts,3,english-language-arts,41,3,"Story Elements: Characters, Problems, and Lessons",5,Fluency and rereading practice: reading dialogue with expression that matches the character,Fluency and rereading practice,reading dialogue with expression that matches the character,3.RF.4,guided,no,g3-text-06
ma-g3-english-language-arts-u03-l06,ma-g3-english-language-arts,3,english-language-arts,42,3,"Story Elements: Characters, Problems, and Lessons",6,Independent application A: charting one character's actions from the beginning to the end,Independent application A,charting one character's actions from the beginning to the end,3.RL.3;3.RL.1,independent,no,g3-text-17
ma-g3-english-language-arts-u03-l07,ma-g3-english-language-arts,3,english-language-arts,43,3,"Story Elements: Characters, Problems, and Lessons",7,Explicit model B: how one action causes the events that follow it,Explicit model B,how one action causes the events that follow it,3.RL.3,guided,no,g3-text-05
ma-g3-english-language-arts-u03-l08,ma-g3-english-language-arts,3,english-language-arts,44,3,"Story Elements: Characters, Problems, and Lessons",8,Guided practice B: putting cause and effect in order inside a story,Guided practice B,putting cause and effect in order inside a story,3.RL.3;3.RL.2,guided,no,g3-text-06
ma-g3-english-language-arts-u03-l09,ma-g3-english-language-arts,3,english-language-arts,45,3,"Story Elements: Characters, Problems, and Lessons",9,Shared close reading: what an illustration or described figure adds at the moment a character changes,Shared close reading,what an illustration or described figure adds at the moment a character changes,3.RL.1;3.RL.3;3.RL.7,guided,no,g3-text-17
ma-g3-english-language-arts-u03-l10,ma-g3-english-language-arts,3,english-language-arts,46,3,"Story Elements: Characters, Problems, and Lessons",10,Reteach and varied practice: repairing retellings that include events the story never told,Reteach and varied practice,repairing retellings that include events the story never told,3.RL.2,guided,no,g3-text-05
ma-g3-english-language-arts-u03-l11,ma-g3-english-language-arts,3,english-language-arts,47,3,"Story Elements: Characters, Problems, and Lessons",11,Vocabulary and language study: words an author uses to show a feeling without naming it,Vocabulary and language study,words an author uses to show a feeling without naming it,3.RL.4;3.L.5,guided,no,g3-text-06
ma-g3-english-language-arts-u03-l12,ma-g3-english-language-arts,3,english-language-arts,48,3,"Story Elements: Characters, Problems, and Lessons",12,Writing plan and draft: planning a retelling that keeps order and leaves out extras,Writing plan and draft,planning a retelling that keeps order and leaves out extras,3.RL.2;3.W.10,guided,no,learner-produced
ma-g3-english-language-arts-u03-l13,ma-g3-english-language-arts,3,english-language-arts,49,3,"Story Elements: Characters, Problems, and Lessons",13,Writing revise and edit: revising a lesson statement so the text supports it,Writing revise and edit,revising a lesson statement so the text supports it,3.RL.2;3.RL.1,guided,no,learner-produced
ma-g3-english-language-arts-u03-l14,ma-g3-english-language-arts,3,english-language-arts,50,3,"Story Elements: Characters, Problems, and Lessons",14,Talk and listening practice: stating a lesson claim aloud and listening for a different claim,Talk and listening practice,stating a lesson claim aloud and listening for a different claim,3.SL.1,guided,no,g3-text-06
ma-g3-english-language-arts-u03-l15,ma-g3-english-language-arts,3,english-language-arts,51,3,"Story Elements: Characters, Problems, and Lessons",15,"Skill consolidation and retrieval: retrieving trait, motivation, sequence, and lesson together",Skill consolidation and retrieval,"retrieving trait, motivation, sequence, and lesson together",3.RL.2;3.RL.3,independent,no,g3-text-17
ma-g3-english-language-arts-u03-l16,ma-g3-english-language-arts,3,english-language-arts,52,3,"Story Elements: Characters, Problems, and Lessons",16,Transfer to a new text: comparing two stories about the same character by the same author,Transfer to a new text,comparing two stories about the same character by the same author,3.RL.9,independent,no,g3-text-05
ma-g3-english-language-arts-u03-l17,ma-g3-english-language-arts,3,english-language-arts,53,3,"Story Elements: Characters, Problems, and Lessons",17,"Unit assessment: unit evidence: retelling, lesson statement, and text support",Unit assessment,"unit evidence: retelling, lesson statement, and text support",3.RL.1;3.RL.2;3.RL.3,independent,yes,g3-text-06
ma-g3-english-language-arts-u03-l18,ma-g3-english-language-arts,3,english-language-arts,54,3,"Story Elements: Characters, Problems, and Lessons",18,"Correction, publication, and reflection: correcting one claim and publishing the story study","Correction, publication, and reflection",correcting one claim and publishing the story study,3.RL.2;3.RL.7,guided,no,g3-text-17
ma-g3-english-language-arts-u04-l01,ma-g3-english-language-arts,3,english-language-arts,55,4,Reading to Learn: Main Idea and Key Details,1,"Launch and baseline: what an informational text is for, and a no-penalty baseline",Launch and baseline,"what an informational text is for, and a no-penalty baseline",3.RI.1;3.RI.2,guided,no,g3-text-07
ma-g3-english-language-arts-u04-l02,ma-g3-english-language-arts,3,english-language-arts,56,4,Reading to Learn: Main Idea and Key Details,2,Word work and decoding focus: reading topic words with three or more syllables,Word work and decoding focus,reading topic words with three or more syllables,3.RF.3;3.RI.4,guided,no,g3-text-08
ma-g3-english-language-arts-u04-l03,ma-g3-english-language-arts,3,english-language-arts,57,4,Reading to Learn: Main Idea and Key Details,3,Explicit model A: a paragraph's main idea is what all its sentences share,Explicit model A,a paragraph's main idea is what all its sentences share,3.RI.2,guided,no,g3-text-07
ma-g3-english-language-arts-u04-l04,ma-g3-english-language-arts,3,english-language-arts,58,4,Reading to Learn: Main Idea and Key Details,4,Guided practice A: naming a paragraph's main idea and underlining two details,Guided practice A,naming a paragraph's main idea and underlining two details,3.RI.2;3.RI.1,guided,no,g3-text-08
ma-g3-english-language-arts-u04-l05,ma-g3-english-language-arts,3,english-language-arts,59,4,Reading to Learn: Main Idea and Key Details,5,Fluency and rereading practice: reading an informational paragraph at a pace that keeps meaning,Fluency and rereading practice,reading an informational paragraph at a pace that keeps meaning,3.RF.4,guided,no,g3-text-07
ma-g3-english-language-arts-u04-l06,ma-g3-english-language-arts,3,english-language-arts,60,4,Reading to Learn: Main Idea and Key Details,6,Independent application A: finding the main idea of a new paragraph independently,Independent application A,finding the main idea of a new paragraph independently,3.RI.2,independent,no,g3-text-08
ma-g3-english-language-arts-u04-l07,ma-g3-english-language-arts,3,english-language-arts,61,4,Reading to Learn: Main Idea and Key Details,7,Explicit model B: a whole text's main idea holds all its paragraphs together,Explicit model B,a whole text's main idea holds all its paragraphs together,3.RI.2,guided,no,g3-text-07
ma-g3-english-language-arts-u04-l08,ma-g3-english-language-arts,3,english-language-arts,62,4,Reading to Learn: Main Idea and Key Details,8,Guided practice B: choosing the detail that best supports a stated main idea,Guided practice B,choosing the detail that best supports a stated main idea,3.RI.1;3.RI.2,guided,no,g3-text-08
ma-g3-english-language-arts-u04-l09,ma-g3-english-language-arts,3,english-language-arts,63,4,Reading to Learn: Main Idea and Key Details,9,Shared close reading: close reading a passage for topic words and what they mean here,Shared close reading,close reading a passage for topic words and what they mean here,3.RI.4,guided,no,g3-text-07
ma-g3-english-language-arts-u04-l10,ma-g3-english-language-arts,3,english-language-arts,64,4,Reading to Learn: Main Idea and Key Details,10,Reteach and varied practice: sorting out details that are interesting but not supporting,Reteach and varied practice,sorting out details that are interesting but not supporting,3.RI.2;3.RI.1,guided,no,g3-text-08
ma-g3-english-language-arts-u04-l11,ma-g3-english-language-arts,3,english-language-arts,65,4,Reading to Learn: Main Idea and Key Details,11,"Vocabulary and language study: reading a diagram, map, or photograph together with the words that explain it",Vocabulary and language study,"reading a diagram, map, or photograph together with the words that explain it",3.RI.7;3.RI.4,guided,no,g3-text-07
ma-g3-english-language-arts-u04-l12,ma-g3-english-language-arts,3,english-language-arts,66,4,Reading to Learn: Main Idea and Key Details,12,Writing plan and draft: planning a main-idea card with three ordered details,Writing plan and draft,planning a main-idea card with three ordered details,3.RI.2;3.W.10,guided,no,learner-produced
ma-g3-english-language-arts-u04-l13,ma-g3-english-language-arts,3,english-language-arts,67,4,Reading to Learn: Main Idea and Key Details,13,Writing revise and edit: revising so every detail on the card actually supports the idea,Writing revise and edit,revising so every detail on the card actually supports the idea,3.RI.1;3.W.10,guided,no,learner-produced
ma-g3-english-language-arts-u04-l14,ma-g3-english-language-arts,3,english-language-arts,68,4,Reading to Learn: Main Idea and Key Details,14,"Talk and listening practice: main ideas and supporting details of a text read aloud, with transcript",Talk and listening practice,"main ideas and supporting details of a text read aloud, with transcript",3.SL.2,guided,no,g3-text-08
ma-g3-english-language-arts-u04-l15,ma-g3-english-language-arts,3,english-language-arts,69,4,Reading to Learn: Main Idea and Key Details,15,"Skill consolidation and retrieval: retrieving main idea, detail, and vocabulary moves together",Skill consolidation and retrieval,"retrieving main idea, detail, and vocabulary moves together",3.RI.2;3.RI.4,independent,no,g3-text-07
ma-g3-english-language-arts-u04-l16,ma-g3-english-language-arts,3,english-language-arts,70,4,Reading to Learn: Main Idea and Key Details,16,Transfer to a new text: finding the main idea of an unfamiliar passage on a new topic,Transfer to a new text,finding the main idea of an unfamiliar passage on a new topic,3.RI.2,independent,no,g3-text-08
ma-g3-english-language-arts-u04-l17,ma-g3-english-language-arts,3,english-language-arts,71,4,Reading to Learn: Main Idea and Key Details,17,"Unit assessment: unit evidence: main idea, supporting details, and word meaning",Unit assessment,"unit evidence: main idea, supporting details, and word meaning",3.RI.1;3.RI.2;3.RI.4,independent,yes,g3-text-07
ma-g3-english-language-arts-u04-l18,ma-g3-english-language-arts,3,english-language-arts,72,4,Reading to Learn: Main Idea and Key Details,18,"Correction, publication, and reflection: correcting one detail and publishing the main-idea card","Correction, publication, and reflection",correcting one detail and publishing the main-idea card,3.RI.7;3.W.10,guided,no,g3-text-08
ma-g3-english-language-arts-u05-l01,ma-g3-english-language-arts,3,english-language-arts,73,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",1,Launch and baseline: noticing how a text moves a reader through its ideas,Launch and baseline,noticing how a text moves a reader through its ideas,3.RI.3;3.RI.8,guided,no,g3-text-09
ma-g3-english-language-arts-u05-l02,ma-g3-english-language-arts,3,english-language-arts,74,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",2,"Word work and decoding focus: reading signal words such as because, after, and however",Word work and decoding focus,"reading signal words such as because, after, and however",3.RF.3;3.L.6,guided,no,g3-text-10
ma-g3-english-language-arts-u05-l03,ma-g3-english-language-arts,3,english-language-arts,75,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",3,Explicit model A: sequence: how a text carries a reader through steps or time,Explicit model A,sequence: how a text carries a reader through steps or time,3.RI.3;3.RI.8,guided,no,g3-text-09
ma-g3-english-language-arts-u05-l04,ma-g3-english-language-arts,3,english-language-arts,76,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",4,Guided practice A: mapping a sequence passage and naming its signal words,Guided practice A,mapping a sequence passage and naming its signal words,3.RI.3;3.L.6,guided,no,g3-text-10
ma-g3-english-language-arts-u05-l05,ma-g3-english-language-arts,3,english-language-arts,77,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",5,Fluency and rereading practice: reading a procedure aloud accurately enough to follow it,Fluency and rereading practice,reading a procedure aloud accurately enough to follow it,3.RF.4,guided,no,g3-text-09
ma-g3-english-language-arts-u05-l06,ma-g3-english-language-arts,3,english-language-arts,78,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",6,Independent application A: mapping a new sequence passage without prompts,Independent application A,mapping a new sequence passage without prompts,3.RI.3,independent,no,g3-text-10
ma-g3-english-language-arts-u05-l07,ma-g3-english-language-arts,3,english-language-arts,79,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",7,Explicit model B: cause and effect: what happened and what it led to,Explicit model B,cause and effect: what happened and what it led to,3.RI.3;3.RI.8,guided,no,g3-text-09
ma-g3-english-language-arts-u05-l08,ma-g3-english-language-arts,3,english-language-arts,80,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",8,Guided practice B: separating a cause from an effect that looks like one,Guided practice B,separating a cause from an effect that looks like one,3.RI.8,guided,no,g3-text-10
ma-g3-english-language-arts-u05-l09,ma-g3-english-language-arts,3,english-language-arts,81,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",9,Shared close reading: close reading how one paragraph connects to the next,Shared close reading,close reading how one paragraph connects to the next,3.RI.8,guided,no,g3-text-09
ma-g3-english-language-arts-u05-l10,ma-g3-english-language-arts,3,english-language-arts,82,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",10,Reteach and varied practice: repairing structure maps that mix up order and cause,Reteach and varied practice,repairing structure maps that mix up order and cause,3.RI.3;3.RI.8,guided,no,g3-text-10
ma-g3-english-language-arts-u05-l11,ma-g3-english-language-arts,3,english-language-arts,83,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",11,Vocabulary and language study: the words and text features that help you find and name a connection,Vocabulary and language study,the words and text features that help you find and name a connection,3.RI.5;3.L.6,guided,no,g3-text-09
ma-g3-english-language-arts-u05-l12,ma-g3-english-language-arts,3,english-language-arts,84,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",12,Writing plan and draft: planning a compare-and-contrast map of two passages,Writing plan and draft,planning a compare-and-contrast map of two passages,3.RI.9,guided,no,learner-produced
ma-g3-english-language-arts-u05-l13,ma-g3-english-language-arts,3,english-language-arts,85,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",13,Writing revise and edit: revising the map so each column names its evidence,Writing revise and edit,revising the map so each column names its evidence,3.RI.9;3.RI.1,guided,no,learner-produced
ma-g3-english-language-arts-u05-l14,ma-g3-english-language-arts,3,english-language-arts,86,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",14,Talk and listening practice: explaining a structure to a listener who has not read the text,Talk and listening practice,explaining a structure to a listener who has not read the text,3.SL.4,guided,no,g3-text-10
ma-g3-english-language-arts-u05-l15,ma-g3-english-language-arts,3,english-language-arts,87,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",15,"Skill consolidation and retrieval: retrieving sequence, cause, comparison, and features together",Skill consolidation and retrieval,"retrieving sequence, cause, comparison, and features together",3.RI.3;3.RI.5;3.RI.9,independent,no,g3-text-09
ma-g3-english-language-arts-u05-l16,ma-g3-english-language-arts,3,english-language-arts,88,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",16,"Transfer to a new text: naming how an unfamiliar text connects its ideas, and proving it",Transfer to a new text,"naming how an unfamiliar text connects its ideas, and proving it",3.RI.3;3.RI.8,independent,no,g3-text-10
ma-g3-english-language-arts-u05-l17,ma-g3-english-language-arts,3,english-language-arts,89,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",17,"Unit assessment: unit evidence: idea connections, text features, signal words, and comparison",Unit assessment,"unit evidence: idea connections, text features, signal words, and comparison",3.RI.3;3.RI.5;3.RI.8;3.RI.9,independent,yes,g3-text-09
ma-g3-english-language-arts-u05-l18,ma-g3-english-language-arts,3,english-language-arts,90,5,"How Information Texts Are Built: Sequence, Cause, and Comparison",18,"Correction, publication, and reflection: correcting one column and publishing the text-structure map","Correction, publication, and reflection",correcting one column and publishing the text-structure map,3.RI.7;3.RI.9,guided,no,g3-text-10
ma-g3-english-language-arts-u06-l01,ma-g3-english-language-arts,3,english-language-arts,91,6,Paragraph Power: Informative and Explanatory Writing,1,Launch and baseline: what a teaching paragraph does that a list of facts does not,Launch and baseline,what a teaching paragraph does that a list of facts does not,3.W.2;3.RI.2,guided,no,g3-text-11
ma-g3-english-language-arts-u06-l02,ma-g3-english-language-arts,3,english-language-arts,92,6,Paragraph Power: Informative and Explanatory Writing,2,Word work and decoding focus: spelling patterns for the words this unit needs most,Word work and decoding focus,spelling patterns for the words this unit needs most,3.L.2;3.RF.3,guided,no,g3-text-07
